Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0,00;-0,040;3,428;0,418;0,004;-0,087;-0,093;-0,057;-0,072;-0,061;0,887;12,372;-256006,400;-26035,190;-914837,000;-10,264;-30178,640;-935793,400;266980,600;-26666,120;-920443,400;266785,700;28827,900;919043,300;-22,396;30678,740;934381,600;-256144,300;25788,050;915512,900
0,02;-0,041;3,420;0,417;-0,010;-0,398;-0,067;-0,100;-0,058;-0,198;0,887;12,372;-255817,800;-27135,820;-912191,400;2,295;-31212,370;-933603,700;266823,800;-27807,520;-918151,400;266528,900;31948,100;916063,800;-15,863;31702,660;931538,700;-256056,600;26597,340;913484,300
0,04;-0,044;3,508;0,408;-0,139;1,225;-0,174;-0,063;-0,067;0,240;0,887;12,372;-253989,600;-27267,550;-901713,400;-6,655;-31817,820;-923023,800;265329,800;-28669,430;-907978,000;264106,800;26243,540;906172,300;-16,603;31038,920;921915,800;-254850,600;27165,880;902956,300
0,06;-0,037;3,540;0,399;0,315;0,420;-0,174;0,358;0,104;0,390;0,887;12,372;-252155,100;-24936,760;-899901,100;42,106;-29614,040;-920267,800;264197,800;-26272,820;-905589,600;262464,600;25317,300;904427,600;-2,555;29696,340;919831,200;-253796,500;26138,410;899874,300
0,08;-0,030;3,536;0,405;0,320;-0,227;0,288;0,055;0,064;0,325;0,887;12,372;-251619,600;-24268,490;-899630,800;-29,126;-28691,060;-919797,700;263250,800;-25565,860;-904668,900;262329,200;25231,440;904532,600;37,965;28818,260;919873,400;-252929,500;25290,160;899576,200
0,10;-0,030;3,536;0,405;0,320;-0,227;0,288;0,055;0,064;0,325;0,887;12,372;-251619,400;-24268,470;-899631,000;-29,252;-28691,060;-919797,700;263250,900;-25565,840;-904668,800;262329,300;25231,410;904532,400;37,843;28818,260;919873,400;-252929,300;25290,150;899576,300
0,12;-0,030;3,536;0,405;0,320;-0,227;0,288;0,055;0,064;0,325;0,887;12,372;-251619,400;-24268,470;-899631,000;-29,275;-28691,060;-919797,700;263250,900;-25565,840;-904668,800;262329,300;25231,410;904532,400;37,721;28818,260;919873,400;-252929,300;25290,150;899576,300
0,14;-0,030;3,536;0,405;0,320;-0,227;0,288;0,055;0,064;0,325;0,887;12,372;-251619,400;-24268,470;-899631,000;-29,298;-28691,060;-919797,700;263251,000;-25565,840;-904668,800;262329,300;25231,410;904532,400;37,721;28818,260;919873,400;-252929,200;25290,150;899576,300
0,16;-0,025;3,519;0,416;0,205;-0,889;0,555;-0,012;0,180;0,298;0,887;12,372;-251246,800;-23682,470;-899683,100;-24,711;-27789,930;-919879,600;262405,700;-24984,780;-904506,000;262344,500;26101,430;904659,600;63,505;28219,600;919963,900;-251827,300;24763,220;899645,600
0,18;-0,023;3,488;0,425;0,077;-1,563;0,459;-0,075;0,128;0,140;0,887;12,372;-251071,200;-23498,130;-899764,000;-12,197;-27274,480;-919989,800;261771,700;-24744,050;-904594,200;262288,600;26190,230;904705,100;20,731;27844,370;920026,600;-251071,000;24614,800;899742,900
0,20;-0,023;3,488;0,425;0,077;-1,563;0,459;-0,075;0,128;0,140;0,887;12,372;-251071,200;-23498,130;-899764,000;-12,221;-27274,480;-919989,800;261771,700;-24744,050;-904594,200;262288,600;26190,230;904705,100;20,731;27844,370;920026,600;-251071,000;24614,800;899742,900
0,22;-0,023;3,488;0,425;0,077;-1,563;0,459;-0,075;0,128;0,140;0,887;12,372;-251071,100;-23498,130;-899764,000;-12,260;-27274,480;-919989,800;261771,800;-24743,980;-904594,200;262288,600;26190,230;904705,100;20,608;27844,370;920026,600;-251071,000;24614,870;899742,900
0,24;-0,025;3,445;0,434;-0,060;-2,190;0,421;-0,141;0,098;-0,034;0,887;12,372;-251080,200;-23715,720;-899789,000;-7,143;-27195,960;-920030,900;261315,300;-24923,850;-904675,800;262315,300;26186,620;904714,800;-2,991;27664,660;920041,000;-250463,400;24763,950;899786,100
0,26;-0,029;3,389;0,443;-0,200;-2,778;0,398;-0,213;0,048;-0,204;0,887;12,372;-251279,300;-24274,910;-899793,600;-9,901;-27495,700;-920036,900;261012,200;-25478,620;-904697,800;262334,000;26185,260;904715,300;-13,820;27662,810;920041,300;-249976,400;25158,690;899793,400
0,28;-0,029;3,389;0,443;-0,200;-2,778;0,398;-0,213;0,048;-0,204;0,887;12,372;-251279,300;-24274,910;-899793,600;-9,917;-27495,700;-920036,900;261012,200;-25478,620;-904697,800;262334,000;26185,260;904715,300;-13,820;27662,810;920041,300;-249976,400;25158,690;899793,400
0,30;-0,029;3,389;0,443;-0,200;-2,778;0,398;-0,213;0,048;-0,204;0,887;12,372;-251279,300;-24274,910;-899793,600;-9,937;-27495,700;-920036,900;261012,200;-25478,620;-904697,800;262334,000;26185,260;904715,300;-13,820;27662,810;920041,300;-249976,400;25158,690;899793,400
0,32;-0,038;3,325;0,450;-0,335;-3,226;0,323;-0,093;0,028;-0,435;0,887;12,372;-251527,100;-25185,130;-899794,200;7,947;-28169,390;-920034,400;260928,400;-26123,960;-904705,400;262336,800;26173,690;904715,500;-27,137;27785,250;920040,900;-249634,400;25389,780;899802,400
0,34;-0,038;3,325;0,450;-0,335;-3,226;0,323;-0,093;0,028;-0,435;0,887;12,372;-251527,000;-25185,060;-899794,300;7,843;-28169,390;-920034,400;260928,400;-26123,960;-904705,400;262336,900;26173,690;904715,500;-27,259;27785,250;920040,900;-249634,400;25389,850;899802,400
0,36;-0,038;3,325;0,450;-0,335;-3,226;0,323;-0,093;0,028;-0,435;0,887;12,372;-251527,000;-25185,060;-899794,300;7,828;-28169,390;-920034,400;260928,400;-26123,960;-904705,400;262336,900;26173,690;904715,500;-27,381;27785,250;920040,900;-249634,400;25389,850;899802,400
0,38;-0,038;3,325;0,450;-0,335;-3,226;0,323;-0,093;0,028;-0,435;0,887;12,372;-251527,000;-25185,060;-899794,300;7,812;-28169,390;-920034,400;260928,500;-26123,960;-904705,400;262336,900;26173,730;904715,400;-27,381;27785,250;920040,900;-249634,300;25389,770;899802,400
0,40;-0,043;3,258;0,454;-0,236;-3,346;0,199;-0,035;0,027;-0,255;0,887;12,372;-251600,000;-25618,690;-899845,700;17,457;-28925,070;-920040,600;260913,800;-26350,210;-904749,900;262377,900;26235,190;904725,100;-28,665;28220,510;920045,800;-249482,900;25450,000;899828,900
0,42;-0,043;3,258;0,454;-0,236;-3,346;0,199;-0,035;0,027;-0,255;0,887;12,372;-251600,000;-25618,690;-899845,700;17,442;-28925,070;-920040,600;260913,800;-26350,210;-904749,900;262377,900;26235,190;904725,100;-28,665;28220,510;920045,800;-249482,900;25450,000;899828,900
0,44;-0,045;3,189;0,455;-0,111;-3,469;0,072;-0,013;0,017;-0,034;0,887;12,372;-251625,400;-25572,680;-899873,800;15,549;-29590,490;-920055,400;260958,300;-26305,780;-904756,600;262397,600;26246,300;904734,800;-26,149;29008,650;920044,100;-249492,100;25449,740;899835,500
0,46;-0,045;3,189;0,455;-0,111;-3,469;0,072;-0,013;0,017;-0,034;0,887;12,372;-251625,300;-25572,750;-899873,800;15,454;-29590,490;-920055,400;260958,400;-26305,710;-904756,600;262397,700;26246,230;904734,800;-26,272;29008,650;920044,100;-249492,000;25449,880;899835,500
0,48;-0,045;3,189;0,455;-0,111;-3,469;0,072;-0,013;0,017;-0,034;0,887;12,372;-251625,300;-25572,750;-899873,800;15,440;-29590,490;-920055,400;260958,400;-26305,710;-904756,600;262397,700;26246,230;904734,800;-26,272;29008,650;920044,100;-249492,000;25449,880;899835,500
0,50;-0,045;3,189;0,455;-0,111;-3,469;0,072;-0,013;0,017;-0,034;0,887;12,372;-251625,300;-25572,750;-899873,800;15,422;-29590,490;-920055,400;260958,400;-26305,710;-904756,600;262397,700;26246,230;904734,800;-26,272;29008,650;920044,100;-249492,000;25449,880;899835,500
0,52;-0,045;3,189;0,455;-0,111;-3,469;0,072;-0,013;0,017;-0,034;0,887;12,372;-251625,300;-25572,750;-899873,800;15,400;-29590,490;-920055,400;260958,500;-26305,710;-904756,600;262397,700;26246,240;904734,700;-26,272;29008,650;920044,100;-249492,000;25449,880;899835,500
0,54;-0,046;3,119;0,454;-0,040;-3,497;-0,060;0,014;0,015;0,111;0,887;12,372;-251635,500;-25448,660;-899845,300;15,820;-29838,590;-920101,000;261107,500;-26216,760;-904737,400;262401,800;26236,830;904733,700;-25,812;29696,890;920061,600;-249625,100;25409,590;899827,300
0,56;-0,046;3,048;0,450;-0,040;-3,542;-0,187;0,031;0,032;0,093;0,887;12,372;-251641,100;-25381,420;-899818,000;18,051;-29817,920;-920113,600;261403,300;-26174,780;-904720,600;262401,600;26205,340;904724,900;-21,013;29975,290;920109,400;-249844,300;25362,790;899811,300
0,58;-0,046;3,048;0,450;-0,040;-3,542;-0,187;0,031;0,032;0,093;0,887;12,372;-251641,100;-25381,420;-899818,000;18,039;-29817,920;-920113,600;261403,300;-26174,780;-904720,600;262401,600;26205,340;904724,900;-21,013;29975,290;920109,400;-249844,300;25362,790;899811,300
0,60;-0,046;3,048;0,450;-0,040;-3,542;-0,187;0,031;0,032;0,093;0,887;12,372;-251641,100;-25381,420;-899818,000;18,029;-29817,920;-920113,600;261403,300;-26174,780;-904720,600;262401,600;26205,340;904724,900;-21,013;29975,290;920109,400;-249844,300;25362,790;899811,300
0,62;-0,046;3,048;0,450;-0,040;-3,542;-0,187;0,031;0,032;0,093;0,887;12,372;-251641,000;-25381,420;-899818,000;18,014;-29817,920;-920113,600;261403,400;-26174,780;-904720,600;262401,700;26205,340;904724,900;-21,013;29975,290;920109,400;-249844,300;25362,790;899811,300
0,64;-0,046;3,048;0,450;-0,040;-3,542;-0,187;0,031;0,032;0,093;0,887;12,372;-251641,000;-25381,420;-899818,000;18,002;-29817,920;-920113,600;261403,400;-26174,780;-904720,600;262401,700;26205,340;904724,900;-21,013;29975,290;920109,400;-249844,300;25362,790;899811,300
0,66;-0,047;2,976;0,444;-0,055;-3,636;-0,317;0,047;0,049;0,030;0,887;12,372;-251643,300;-25364,130;-899809,900;19,350;-29747,490;-920090,900;261837,600;-26176,240;-904714,100;262400,900;26189,770;904718,600;-17,094;29948,260;920121,900;-250163,300;25336,650;899803,000
0,68;-0,047;2,976;0,444;-0,055;-3,636;-0,317;0,047;0,049;0,030;0,887;12,372;-251643,200;-25364,080;-899810,100;19,257;-29747,490;-920090,900;261837,700;-26176,170;-904714,100;262400,900;26189,700;904718,600;-17,216;29948,260;920121,900;-250163,200;25336,600;899803,100
0,70;-0,047;2,976;0,444;-0,055;-3,636;-0,317;0,047;0,049;0,030;0,887;12,372;-251643,200;-25364,080;-899810,100;19,247;-29747,490;-920090,900;261837,700;-26176,170;-904714,100;262400,900;26189,700;904718,600;-17,216;29948,260;920121,900;-250163,200;25336,600;899803,100
0,72;-0,048;2,900;0,435;-0,043;-3,773;-0,440;0,065;0,032;-0,020;0,887;12,372;-251647,300;-25368,820;-899809,000;15,088;-29692,640;-920065,900;262332,900;-26188,590;-904715,400;262397,700;26187,410;904717,900;-19,878;29782,670;920101,300;-250611,700;25332,450;899808,300
0,74;-0,048;2,900;0,435;-0,043;-3,773;-0,440;0,065;0,032;-0,020;0,887;12,372;-251647,300;-25368,820;-899809,000;15,075;-29692,640;-920065,900;262332,900;-26188,590;-904715,400;262397,700;26187,410;904717,900;-19,878;29782,670;920101,300;-250611,700;25332,450;899808,300
0,76;-0,048;2,900;0,435;-0,043;-3,773;-0,440;0,065;0,032;-0,020;0,887;12,372;-251647,300;-25368,820;-899809,000;15,062;-29692,640;-920065,900;262332,900;-26188,590;-904715,400;262397,700;26187,410;904717,900;-19,878;29782,670;920101,300;-250611,700;25332,450;899808,300
0,78;-0,046;2,821;0,425;0,088;-3,960;-0,458;0,061;-0,146;0,021;0,887;12,372;-251679,100;-25363,650;-899806,300;-23,279;-29651,960;-920048,600;262506,800;-26192,720;-904717,700;262382,600;26197,340;904720,000;-38,613;29678,960;920069,600;-251276,900;25364,120;899811,800
0,80;-0,046;2,821;0,425;0,088;-3,960;-0,458;0,061;-0,146;0,021;0,887;12,372;-251679,000;-25363,720;-899806,300;-23,356;-29651,960;-920048,600;262506,800;-26192,650;-904717,700;262382,600;26197,270;904720,000;-38,735;29678,960;920069,600;-251276,800;25364,190;899811,800
0,82;-0,046;2,821;0,425;0,088;-3,960;-0,458;0,061;-0,146;0,021;0,887;12,372;-251679,000;-25363,720;-899806,300;-23,365;-29651,960;-920048,600;262506,800;-26192,650;-904717,700;262382,600;26197,270;904720,000;-38,735;29678,960;920069,600;-251276,800;25364,190;899811,800
0,84;-0,046;2,821;0,425;0,088;-3,960;-0,458;0,061;-0,146;0,021;0,887;12,372;-251679,000;-25363,720;-899806,300;-23,378;-29651,960;-920048,600;262506,800;-26192,650;-904717,700;262382,600;26197,270;904720,000;-38,735;29678,960;920069,600;-251276,800;25364,190;899811,800
