Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;24,601;0,883;0,189;-0,003;-0,006;0,004;0,038;-0,016;0,018;0,077;2,594;-310204,4;98491,9;-960886,7;77894,53;-149342,8;-781882,9;192902,8;84901,63;-1061970;192958,3;157798,2;811134,7;77932,78;-94417,59;1031777;-310199;146538,9;710344,8
0,02;24,601;0,883;0,189;-0,003;-0,006;0,004;0,038;-0,016;0,018;0,077;2,594;-310426,8;98156,65;-960315,3;78213,66;-149013,9;-782185,4;192588,1;84520,16;-1061796;192643,5;157535,2;811613,1;78251,88;-94107,97;1031423;-310421,4;146235,5;710422,4
0,04;24,601;0,883;0,189;-0,003;-0,006;0,004;0,038;-0,016;0,018;0,077;2,594;-311031,8;97231,41;-958746;79082,78;-148107,3;-783019,4;191729,6;83469,59;-1061309;191784,9;156808,8;812926,7;79120,89;-93253,48;1030446;-311026,5;145399,6;710643,1
0,06;24,601;0,883;0,189;-0,003;-0,006;0,004;0,038;-0,016;0,018;0,077;2,594;-311270,6;96860,84;-958120,7;79426,13;-147744,3;-783353,6;191389,8;83049,66;-1061112;191445,2;156517,4;813450,1;79464,28;-92911,45;1030055;-311265,3;145065;710734,4
0,08;24,601;0,883;0,189;-0,003;-0,006;0,004;0,038;-0,016;0,018;0,077;2,594;-311518,3;96473,32;-957468,8;79782,48;-147364,9;-783703,1;191036,9;82611,2;-1060904;191092,3;156212,4;813995,9;79820,73;-92553,54;1029646;-311513;144715,2;710831,8
0,1;24,601;0,883;0,189;-0,003;-0,006;0,004;0,038;-0,016;0,018;0,077;2,594;-311833,2;95975,64;-956634,3;80235,89;-146877,9;-784151,6;190587,4;82048,98;-1060636;190642,7;155820,4;814694,4;80274,09;-92094,37;1029121;-311827,9;144266,2;710959,6
0,12;24,601;0,883;0,189;-0,003;-0,006;0,004;0,038;-0,016;0,018;0,077;2,594;-312115,2;95525,3;-955882;80642,25;-146437,2;-784557,6;190184;81540,88;-1060390;190239,4;155465,2;815324,3;80680,59;-91678,62;1028647;-312110;143860,1;711077,9
0,14;24,601;0,883;0,189;-0,003;-0,006;0,004;0,038;-0,016;0,018;0,077;2,594;-312385,1;95090,22;-955157,5;81031,36;-146011,8;-784949,8;189797,3;81050,66;-1060151;189852,7;155121,7;815931,1;81069,63;-91277,2;1028189;-312379,8;143467,8;711194,4
0,16;24,606;0,891;0,188;0,249;0,436;-0,046;-0,365;-0,091;0,266;0,077;2,594;-311240,7;92828,58;-954128,8;80828,68;-145408,6;-785613,8;190378,5;79569,33;-1060260;190930,2;149844,6;817414,6;79974,15;-89328,19;1027883;-312044,4;142414,4;712010,8
0,18;24,606;0,891;0,188;0,249;0,436;-0,046;-0,365;-0,091;0,266;0,077;2,594;-311453,3;92479,78;-953551,4;81135,62;-145067,6;-785928,3;190072,9;79177,36;-1060066;190624,7;149568,6;817898,2;80281,16;-89006,24;1027516;-312257;142100,3;712107,3
