Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-0,039;1,917;0,389;-0,071;0,012;0,056;0,016;0,029;-0,003;0,071;5,462;-161508,1;99278,78;-978053,6;-100785,1;-148514,3;-776881,9;362425,3;94229,51;-1033743;170604,4;145540,4;736439,1;100750,4;-95548,93;1026933;-350700,3;149255,5;781524,8
0,02;-0,039;1,917;0,389;-0,071;0,012;0,056;0,016;0,029;-0,003;0,071;5,462;-161080,3;98726,6;-977275,8;-101283,1;-147945,5;-777380,6;362942,6;93675,3;-1033225;170167;144983,6;736806,8;101248,3;-95017,44;1026300;-351215,6;148709,4;782151,3
0,04;-0,039;1,917;0,389;-0,071;0,012;0,056;0,016;0,029;-0,003;0,071;5,462;-160395,6;97817,71;-976005,7;-102080,6;-147010,1;-778205,1;363771,5;92763,58;-1032371;169466,9;144067,4;737421,1;102045,8;-94141,88;1025263;-352041,2;147810,2;783180,7
0,06;-0,039;1,917;0,389;-0,071;0,012;0,056;0,016;0,029;-0,003;0,071;5,462;-159586,5;96701,27;-974462,8;-103023,3;-145862,8;-779223,1;364752,2;91644,46;-1031321;168639,8;142942,9;738190,7;102988,6;-93065,25;1023995;-353018,1;146706,1;784441,1
0,08;-0,039;1,917;0,389;-0,071;0,012;0,056;0,016;0,029;-0,003;0,071;5,462;-159317,5;96319,1;-973938,8;-103337;-145470,6;-779572,7;365078,7;91261,68;-1030961;168364,8;142558,4;738457,8;103302,3;-92696,4;1023563;-353343,3;146328,2;784871,4
0,1;-0,039;1,917;0,389;-0,071;0,012;0,056;0,016;0,029;-0,003;0,071;5,462;-158965,6;95810,98;-973245,3;-103747,4;-144949;-780039,1;365506;90752,49;-1030481;168005;142046,8;738816,1;103712,7;-92205,94;1022989;-353769,1;145825,3;785443,6
0,12;-0,041;1,929;0,395;-0,055;0,57;0,271;0,078;0,012;-0,205;0,071;5,462;-159081,9;95216,57;-972744,7;-104082,7;-144527,4;-780488,1;365592,5;90108,86;-1030119;167646,6;139646,9;739459,1;103878,8;-91859,28;1022607;-353989,3;144928,7;786355,8
0,14;-0,041;1,929;0,395;-0,055;0,57;0,271;0,078;0,012;-0,205;0,071;5,462;-158822,2;94829,7;-972221,1;-104385,7;-144130,6;-780844,7;365908,2;89721,4;-1029754;167381,1;139257,5;739736,1;104181,9;-91485,3;1022172;-354303,7;144546;786790,2
0,16;-0,041;1,929;0,395;-0,055;0,57;0,271;0,078;0,012;-0,205;0,071;5,462;-158479,6;94310,54;-971521,6;-104785,5;-143598,7;-781324,1;366324,8;89201,77;-1029263;167030,8;138735,3;740110,2;104581,7;-90983,58;1021589;-354719;144032,3;787372,7
0,18;-0,041;1,929;0,395;-0,055;0,57;0,271;0,078;0,012;-0,205;0,071;5,462;-158223,2;93915,29;-970991,6;-105084,8;-143193,9;-781690;366636,9;88806,04;-1028889;166768,6;138337,7;740397,4;104881;-90601,31;1021147;-355029,8;143641,2;787815,7
