Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-0,035;1,923;0,559;-0,023;0,018;0,102;0,023;0,02;0,001;0,107;5,194;-350654,8;94731,34;-1031716;100647,8;-148503,5;-776818,6;170699;99484,24;-986767;362304,5;149783,3;783411,2;-100572,3;-95691,15;1027064;-161633,6;145817,8;727659,9
0,02;-0,035;1,923;0,559;-0,023;0,018;0,102;0,023;0,02;0,001;0,107;5,194;-350915,8;94451,9;-1031463;100900,1;-148217,9;-777068,7;170477,4;99210,5;-986384,9;362566,6;149508,2;783718,4;-100824,5;-95424,54;1026747;-161416,8;145541,5;727833,4
0,04;-0,035;1,923;0,559;-0,023;0,018;0,102;0,023;0,02;0,001;0,107;5,194;-351723,3;93568,42;-1030665;101680,4;-147316,2;-777861,2;169792,4;98344,45;-985184;363377,3;148638,3;784688,5;-101604,8;-94581,23;1025745;-160746,6;144667,9;728390,6
0,06;-0,035;1,923;0,559;-0,023;0,018;0,102;0,023;0,02;0,001;0,107;5,194;-351962,4;93301,51;-1030423;101911,3;-147043,7;-778101,7;169589,7;98082,54;-984822,9;363617,3;148375,1;784981,6;-101835,8;-94325,95;1025443;-160548,3;144403,6;728561,5
0,08;-0,035;1,923;0,559;-0,023;0,018;0,102;0,023;0,02;0,001;0,107;5,194;-352212,4;93019,42;-1030167;102152,7;-146755,9;-778356;169377,8;97805,94;-984442,7;363868,3;148097,5;785290,9;-102077,2;-94056,22;1025124;-160341,1;144124,7;728742,9
0,1;-0,035;1,923;0,559;-0,023;0,018;0,102;0,023;0,02;0,001;0,107;5,194;-352513,7;92675,8;-1029855;102443,5;-146405,5;-778666,4;169122,6;97468,67;-983980,8;364170,8;147758,8;785667,7;-102368;-93727,61;1024737;-160091,6;143784,5;728965,9
0,12;-0,035;1,923;0,559;-0,023;0,018;0,102;0,023;0,02;0,001;0,107;5,194;-352715,7;92442,9;-1029644;102638,5;-146168,1;-778877,1;168951,6;97239,98;-983668,5;364373,6;147529,4;785922,7;-102563;-93504,64;1024474;-159924,2;143554,2;729117,7
0,14;-0,035;1,923;0,559;-0,023;0,018;0,102;0,023;0,02;0,001;0,107;5,194;-352906,8;92220,9;-1029442;102822,8;-145941,5;-779078,4;168789,9;97022,13;-983371,6;364565,5;147310,5;786165,9;-102747,2;-93292,25;1024225;-159766;143334,5;729263,3
0,16;-0,035;1,923;0,559;-0,023;0,018;0,102;0,023;0,02;0,001;0,107;5,194;-353113;91979,41;-1029222;103021,8;-145695,3;-779297,5;168615,4;96784,69;-983048,9;364772,4;147072,4;786430,4;-102946,2;-93060,81;1023953;-159595,3;143095,3;729422,7
0,18;-0,035;1,923;0,559;-0,023;0,018;0,102;0,023;0,02;0,001;0,107;5,194;-353371,9;91673,27;-1028943;103271,5;-145383;-779576,1;168396,4;96483,72;-982641,1;365032,3;146770,2;786765,8;-103195,9;-92767,17;1023609;-159381,2;142792,1;729625,8
