Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;0,046;2,658;0,458;0,002;0;-0,004;-0,001;0,001;-0,003;0,111;9,586;-168941,3;-86048,48;-1110327;-85240,8;-682905,8;-201539,5;259615,4;-78664,54;-1022522;301144,6;661660,1;222517,5;-34754,48;77979,14;1010122;-140225;819881,8;64381,42
0,02;0,035;2,662;0,432;0,182;0,725;-0,405;0,203;0,14;0,184;0,111;9,586;-167438,9;-84674,58;-1112654;-92268,06;-680198,2;-204004,4;260632,8;-75139,01;-1021980;306493,6;651982,2;232121,7;-35909,23;74250,94;1010477;-132032,3;823578,4;60681,7
0,04;0,04;2,673;0,425;0,193;0,491;-0,344;0,061;0,132;0,262;0,111;9,586;-171327,5;-86564,34;-1110166;-88775,43;-681578,3;-202564,4;257838,6;-77516,98;-1022414;303844,1;656615,8;227670,1;-32695,73;76655,65;1009559;-135956,6;821692,6;62608,07
0,06;0,044;2,677;0,419;0,194;0,226;-0,303;-0,142;0,161;0,323;0,111;9,586;-175565,1;-89777,55;-1105483;-84627,77;-683231,6;-200915,8;254728,4;-81657,74;-1021336;300633,4;661837,8;222258,4;-29128,08;80727,87;1006867;-140711,8;819285,5;65020,43
0,08;0,044;2,677;0,419;0,194;0,226;-0,303;-0,142;0,161;0,323;0,111;9,586;-179912,8;-93580,27;-1099682;-80331,13;-684848,5;-199291,8;251483,1;-85445,52;-1019314;297263,9;667335,4;216753,7;-25432,3;84313,82;1003225;-145614,7;816711,2;67588,42
0,1;0,05;2,681;0,413;0,205;0,189;-0,337;-0,185;0,179;0,39;0,111;9,586;-184172,4;-98384,38;-1092742;-76092,31;-686384,7;-197785,9;248239,5;-90956,9;-1016362;293890,8;672690,4;211420,5;-21771,91;89730,28;998641,1;-150406,8;814070,3;70192,52
0,12;0,05;2,681;0,413;0,205;0,189;-0,337;-0,185;0,179;0,39;0,111;9,586;-188594,5;-104202,9;-1084548;-71639,55;-687882,3;-196277,6;244823,1;-96683,45;-1012209;290340,5;678203,4;205897,4;-17944,26;95181,87;992875,3;-155380,3;811248,4;73005,1
0,14;0,055;2,684;0,406;0,219;0,18;-0,374;-0,234;0,221;0,435;0,111;9,586;-192857;-110966,8;-1074928;-67294,14;-689282,3;-194894,3;241467,7;-104006;-1006789;286831,4;683606,9;200604,3;-14200,97;102351,7;985866,6;-160150,6;808436,6;75771,97
0,16;0,061;2,692;0,401;0,274;0,413;-0,308;-0,211;0,263;0,276;0,111;9,586;-197199,1;-118843,9;-1063710;-62858,27;-690649,1;-193555,5;238012,7;-112427,6;-999825,7;283187,3;689007,6;195239,3;-10395,74;110404,3;977382,3;-165092,5;805464,6;78824,78
0,18;0,061;2,692;0,401;0,274;0,413;-0,308;-0,211;0,263;0,276;0,111;9,586;-201634,7;-128701,3;-1050656;-58239,21;-691929,3;-192256,2;234396;-122093,9;-991131,9;279405,4;694452,1;189776,5;-6446,834;119617,2;967223,1;-170083,2;802301,9;81970,5
0,2;0,068;2,703;0,396;0,318;0,522;-0,26;-0,255;0,331;0,251;0,111;9,586;-205902,5;-139554;-1035483;-53736,15;-693103,6;-191081,9;230842,6;-133470,8;-980399,1;275696,5;699646,2;184516,7;-2600,971;130427,2;955124,6;-174906,8;799164,9;85162,48
0,22;0,068;2,703;0,396;0,318;0,522;-0,26;-0,255;0,331;0,251;0,111;9,586;-210288,2;-153102,2;-1017864;-49051,39;-694225;-189931,8;227132,3;-146779,4;-967301;271788,4;704995,5;179140,1;1378,626;143094,4;940795,5;-179855,7;795805,8;88495,89
0,24;0,074;2,712;0,392;0,313;0,454;-0,234;-0,205;0,362;0,172;0,111;9,586;-214476,9;-168261,1;-997374,5;-44512,03;-695234,1;-188900,6;223517,3;-162104,3;-951423,8;267945,5;710106;174011,4;5208,24;157602,2;923855,7;-184564,6;792472,3;91781,98
0,26;0,08;2,718;0,388;0,291;0,352;-0,199;-0,083;0,351;0,067;0,111;9,586;-218675,6;-186215,3;-973617,1;-39905,32;-696187,8;-187915;219838,3;-179730,4;-932316,6;263999,8;715291,1;168862,2;9058,266;174217;903912,9;-189307,4;788985,1;95154,98
0,28;0,08;2,718;0,388;0,291;0,352;-0,199;-0,083;0,351;0,067;0,111;9,586;-222911;-207372,8;-946115,8;-35190,18;-697074;-186974,5;216049,7;-200636,2;-909456,6;259949,8;720444,4;163657,6;13012,73;194042,9;880494,3;-194122,4;785398,9;98691,57
0,3;0,086;2,725;0,385;0,326;0,329;-0,17;-0,055;0,36;0,095;0,111;9,586;-226948;-231165,7;-914322,4;-30629,87;-697835,1;-186124,5;212352;-224042,2;-882270,3;256016,8;725332,3;158671,4;16821;216103,4;853139;-198720,8;781816,3;102139,8
0,32;0,093;2,731;0,382;0,365;0,275;-0,144;0,016;0,349;0,024;0,111;9,586;-230956,7;-258441,7;-877621,3;-26042,9;-698546,8;-185305,6;208633,8;-250726,5;-850177,1;251979;730270,4;153699,6;20621,12;241042,8;821609,6;-203305,7;778180;105654
