Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;0,046;2,658;0,458;0,002;0;-0,004;-0,001;0,001;-0,003;0,158;7,49;-244039,5;-993998,8;133298,8;1,125;-368046,7;-515720,3;260864,8;-898973,4;43625,61;332561,8;975217,2;-91176,6;-1,534;675146,1;166505,8;-332558,1;975245,4;-91189,44
0,02;0,045;2,68;0,457;-0,005;1,141;-0,115;0,322;0,122;-0,021;0,158;7,49;-251397,8;-1011246;150758,1;23,441;-296999,4;-584684,9;268192,3;-916518,4;62095,04;354936,5;1003285;-119289;-24,251;666195,3;169880,3;-355947,9;1003826;-119046,8
0,04;0,042;2,695;0,457;-0,146;0,754;0,042;0,22;-0,12;-0,09;0,158;7,49;-253238,1;-1019637;160824,4;-12,807;-291338,3;-589408,8;269574,6;-927681,6;77225,02;355818;1002447;-119806;-15,883;680481,7;146300,9;-357891,9;1005060;-119474,8
0,06;0,042;2,695;0,457;-0,146;0,754;0,042;0,22;-0,12;-0,09;0,158;7,49;-254743,4;-1024932;167262,6;-12,807;-289698,8;-591091,5;270914,5;-936776,3;89574,32;356259,2;1002943;-120284,6;-15,883;695754,2;121537;-358333,1;1005556;-119953,4
0,08;0,031;2,713;0,472;-0,369;0,345;0,472;0,046;0,199;-0,266;0,158;7,49;-256005,1;-1025434;164682,6;2,511;-290211,6;-591905,9;271539,1;-941720,3;95179,09;356264;1006498;-119942,9;60,032;709081,4;100646,5;-356420,3;1006293;-120030,6
0,1;0,031;2,713;0,472;-0,369;0,345;0,472;0,046;0,199;-0,266;0,158;7,49;-257277;-1018536;152965,9;2,511;-289868,2;-592278,2;272667,4;-940087,9;91434,73;356332,8;1006559;-119992;60,032;718367,4;85063,61;-356489,1;1006354;-120079,7
0,12;0,031;2,713;0,472;-0,369;0,345;0,472;0,046;0,199;-0,266;0,158;7,49;-258441,5;-1002514;127545,1;2,511;-289995,7;-592174,9;273699;-929922,5;74792,93;356267,6;1006461;-119884,3;60,032;721190,9;79349,39;-356423,9;1006256;-119971,9
0,14;0,016;2,716;0,483;-0,256;-0,024;0,228;0,095;0,036;-0,243;0,158;7,49;-259424;-976725,7;86697,81;8,755;-292374,9;-591784,6;274579,1;-909887,7;43046,64;356037,6;1006354;-119689,1;-9,125;715157;87398,91;-355956,2;1006245;-119670,8
0,16;0,016;2,716;0,483;-0,256;-0,024;0,228;0,095;0,036;-0,243;0,158;7,49;-260363,6;-939141,1;28556,25;8,755;-293429,1;-590747,9;275409,4;-878592,3;-5631,178;355703,6;1005940;-119268,4;-9,125;699616,4;109629,6;-355622,2;1005831;-119250,1
0,18;0,016;2,716;0,483;-0,256;-0,024;0,228;0,095;0,036;-0,243;0,158;7,49;-261186,2;-891086,2;-45625,19;8,755;-294940,9;-589250,6;276135,5;-836620,9;-70474,2;355235,4;1005366;-118688,9;-9,125;673828,2;147252,5;-355154;1005257;-118670,6
0,2;0,013;2,708;0,489;-0,007;-0,299;0,155;0,111;0,006;0,081;0,158;7,49;-261837,6;-835366;-130315,3;9,021;-297464,9;-587462,3;276723,2;-786223,1;-146526;354687,1;1004558;-117990,7;6,576;639425,3;197514,6;-354667,4;1004500;-117974,9
0,22;0,013;2,708;0,489;-0,007;-0,299;0,155;0,111;0,006;0,081;0,158;7,49;-262417,4;-771716,4;-228217,9;9,021;-299870,9;-585066,8;277234,1;-727726,2;-235831,4;353951,4;1003659;-117087,8;6,576;596259,5;260270,5;-353931,7;1003601;-117072
0,24;0,012;2,697;0,493;-0,026;-0,495;0,192;-0,008;-0,007;0,251;0,158;7,49;-262825,4;-704830,8;-329595,7;-8,467;-302693,8;-582259,4;277617,8;-665760,9;-328887,7;353115,6;1002493;-116052,3;19,715;548611;328596,7;-353085,7;1002500;-116042
0,26;0,013;2,682;0,497;0,001;-0,739;0,182;-0,068;-0,002;0,287;0,158;7,49;-263170,2;-636824,4;-431690;-4,626;-305721,1;-579085,4;277915;-602051,8;-423613,9;352130,5;1001277;-114836,5;9,567;498157,8;399912,3;-352110,9;1001235;-114840,3
