Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;0,046;2,658;0,458;0,002;0;-0,004;-0,001;0,001;-0,003;0,11;7,915;-196846,6;-223717;-939169,4;30986,23;-697485,1;-186565,1;238159,2;-208972,9;-884082,7;254539,4;719835,2;163952,7;11294,97;204394,5;866109,8;-199943,9;787921,4;95944,03
0,02;0,046;2,658;0,458;0,002;0;-0,004;-0,001;0,001;-0,003;0,11;7,915;-190774,7;-225612,7;-940190,9;30965,28;-697301,7;-186850,8;242896,3;-209372,8;-880270;254531,8;719687,8;164206,3;16882,92;205494,7;864903,9;-199955,9;787719,1;96213,4
0,04;0,037;2,65;0,46;-0,422;-0,424;0,104;0,255;-0,466;-0,368;0,11;7,915;-186627,9;-257099;-901931,6;26109,24;-698508,6;-185429,6;246067,6;-238087,3;-840669,3;250432,5;725667,4;158251,6;20632,17;233234,8;828975;-204391,6;782967,9;100907,1
0,06;0,035;2,644;0,462;-0,101;-0,27;0,093;0,037;-0,293;-0,147;0,11;7,915;-182319,5;-294109,2;-855395,9;21470,05;-699367,9;-184467,1;249180,4;-270873,2;-795948,3;246405,2;731139,2;152294,2;24542,51;265944,7;786465,7;-208784,4;778378;105392,5
0,08;0,035;2,644;0,462;-0,101;-0,27;0,093;0,037;-0,293;-0,147;0,11;7,915;-178029,3;-331607;-808243,4;16834,74;-700023,8;-183677,7;252301,4;-304091,3;-751274,6;242533,7;736794,8;146515;28347,84;299300,6;744002,6;-213086,3;773844,4;109801,6
0,1;0,038;2,648;0,464;0,178;0,174;0,134;0,077;-0,034;0,017;0,11;7,915;-173704,4;-374805,8;-752422,4;12348,63;-700554;-182978,1;255322,1;-341965,8;-699852,3;239054,5;741980,5;140963,6;32099,74;337431,3;694717,7;-217298,7;769473,4;114017,5
0,12;0,045;2,663;0,467;0,263;0,788;0,122;0,063;-0,099;0,372;0,11;7,915;-169714,8;-420451,3;-692131,8;7872,356;-701060,6;-182120,5;258157,7;-382017,3;-644885,2;235266,7;747710,3;135428,3;35562,39;378401;641308,8;-221392,8;765162,3;118183,3
0,14;0,051;2,688;0,469;0,22;1,224;0,155;0,051;-0,024;0,388;0,11;7,915;-165640,2;-469336,9;-625519,9;3475,523;-701650,3;-181199,4;260983,8;-424634,6;-585519,1;231436,7;753229,4;129815,7;39050,27;421775,2;583432,1;-225318,8;760897,5;122196
0,16;0,051;2,688;0,469;0,22;1,224;0,155;0,051;-0,024;0,388;0,11;7,915;-161456,9;-522222,3;-551488,7;-963,717;-702360,1;-180148,6;263791,4;-470492,5;-519800,5;227547,3;758722;124014,4;42601,04;468246;518932,3;-229237,7;756684,7;126083,1
0,18;0,056;2,72;0,473;0,182;1,587;0,164;0,002;0,025;0,541;0,11;7,915;-157471,3;-575677,3;-475170,9;-5192,831;-703136,6;-178934,1;266429,1;-516264,8;-453742,2;223801,3;764089,4;118305,6;45958,48;515200,1;453295,6;-232917,8;752767,4;129567,5
0,2;0,062;2,743;0,476;0,233;1,127;0,137;-0,057;0,067;0,461;0,11;7,915;-153472,4;-630325,3;-395496,6;-9400,929;-704121,9;-177448,1;269013,8;-562752,5;-385232,2;220005,5;769616,8;112380,1;49279,77;562799,1;385058,8;-236527,5;749057,8;132743,6
0,22;0,069;2,759;0,478;0,27;0,812;0,122;-0,039;0,081;0,412;0,11;7,915;-149519,9;-684897,7;-314801,4;-13554,95;-705335,9;-175605,8;271518,2;-608221,9;-316935;216223,5;775197,6;106194;52522,13;609418,6;316857,3;-240074,5;745624,3;135499,6
