Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;0,046;2,658;0,458;0,002;0;-0,004;-0,001;0,001;-0,003;0,358;5,781;-122609,5;-498576,4;-581563,8;-136170,5;-657097,5;-227317,5;293255,3;-447735,8;-546008,8;75124,74;817334,1;66893,54;69765,07;446904,1;544876,9;-348494,5;611866,1;272329,4
0,02;0,039;2,645;0,475;-0,337;-0,604;0,736;-0,523;-0,068;-0,281;0,358;5,781;-110442,2;-425059,3;-686925,4;-154159,8;-645462,1;-238712,1;301283,6;-379894,2;-632160,4;52910,84;816343,1;65758,36;80036,61;379982,5;633123,3;-361528,5;586480,7;297174,4
0,04;0,039;2,645;0,475;-0,337;-0,604;0,736;-0,523;-0,068;-0,281;0,358;5,781;-109778,6;-372059,5;-760141,8;-154214,5;-645411,9;-238770,3;301708,1;-332482,4;-694652,2;52841,5;816369,3;65735,11;80535,48;332577,4;695845,7;-361560,9;586353,6;297306,5
0,06;0,033;2,629;0,488;-0,197;-0,757;0,565;-0,454;0,469;-0,381;0,358;5,781;-110258,8;-329286,1;-816560,9;-152882,4;-646979,2;-237208,7;301307,1;-294020,1;-744031,8;55321,18;816742,3;66108,86;80181,27;293576,8;745057,6;-359416,1;589445,4;294190
0,08;0,033;2,624;0,492;0,029;-0,192;0,189;-0,3;0,484;-0,028;0,358;5,781;-110911,6;-290443,6;-867738,9;-151391,7;-648113,8;-236059,3;300596,6;-259006,3;-788705,1;57650,17;817225,9;66347,3;79295,32;258495,3;789452,3;-357924,5;592191,6;291971,6
0,1;0,037;2,622;0,491;0,194;-0,122;-0,103;-0,318;0,527;0,087;0,358;5,781;-112083;-256170,8;-912063;-149478,8;-649157,3;-235039,3;299887,9;-228691,2;-827008,1;60425,77;817474,8;66594,45;78099,33;228135;827663,4;-356639,6;594875,9;289686
0,12;0,037;2,622;0,491;0,194;-0,122;-0,103;-0,318;0,527;0,087;0,358;5,781;-113210,1;-225908,9;-949820,1;-147734,1;-650408,9;-233789;299157,7;-201802,8;-859961,8;62691,15;817353,9;66716,41;77252,88;201154,6;860420,5;-355281,8;597500,2;287063,1
0,14;0,041;2,617;0,482;0,225;-0,23;-0,509;-0,358;0,632;0,097;0,358;5,781;-114621,3;-200988,4;-981066,1;-145259;-651686,6;-232563,6;298321,1;-180038,9;-886725,3;65245,92;817653,5;66922,63;75804,8;179556,2;886918,9;-353866,7;600323,3;284392,4
0,16;0,047;2,617;0,469;0,329;0,031;-0,646;-0,08;0,801;0,092;0,358;5,781;-116140,1;-179645;-1007428;-142273,5;-653059,2;-231193,9;297370,8;-161127;-909600,6;67846,59;817789,6;67119,74;74514,06;161002,3;909476,8;-352161,9;603214,9;281432,3
0,18;0,047;2,617;0,469;0,329;0,031;-0,646;-0,08;0,801;0,092;0,358;5,781;-117886,8;-161005,4;-1029256;-140151,3;-654509,3;-229744,3;296227,3;-144591,1;-929361,4;70575,67;817573,9;67335,88;73195,42;144396,9;928811,4;-350497,5;606318,9;278329,1
0,2;0,053;2,619;0,458;0,341;0,088;-0,553;0,091;0,747;-0,024;0,358;5,781;-119841;-145870;-1047461;-137218,6;-656018,3;-228294,8;294953,1;-131016,7;-946015,4;73438,2;817198,8;67587,34;71718,59;130967,2;945014,1;-348607;609377,4;275223,7
0,22;0,06;2,621;0,448;0,384;0,114;-0,469;0,117;0,579;-0,031;0,358;5,781;-121990,9;-132998;-1062504;-134666,7;-657584,8;-226764,3;293516,8;-119562,2;-960244,5;76453,5;816832,6;67863,75;70120,78;119448,7;958687,3;-346865,9;612547,2;271969,3
0,24;0,06;2,621;0,448;0,384;0,114;-0,469;0,117;0,579;-0,031;0,358;5,781;-124344,5;-121828,1;-1074876;-132154,5;-659201;-225148,1;291952,2;-109673,2;-972252,6;79646,15;816480,9;68215,29;68330,35;109504;970056;-344877,1;616100,3;268416,4
0,26;0,068;2,622;0,439;0,437;0,042;-0,41;0,099;0,471;-0,036;0,358;5,781;-126823,5;-112792;-1085041;-129610,7;-660808,2;-223531;290281;-101725,7;-982509;82842,98;816338,8;68632,86;66466,63;101458,6;979576,6;-343008,4;619635,2;264802,5
