Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-2,647;0,745;2,361;0;-0,005;-0,001;0,038;-0,03;0,022;0,036;2,416;-327037,3;95098,98;-1030974;49205,1;-146309,3;-719121,1;244179,3;65196,13;-1093275;244207,4;175635,8;840203,9;49219,55;-99552,77;969900;-326993,6;149248,3;780404,3
0,02;-2,647;0,745;2,361;0;-0,005;-0,001;0,038;-0,03;0,022;0,036;2,416;-327585,2;94544,7;-1030512;49515,59;-145791,4;-719151,8;244024,2;64293,92;-1093143;244052,4;175419,2;841167,7;49530,09;-98991,65;968833,5;-327541,3;148717,1;781052,2
0,04;-2,647;0,745;2,361;0;-0,005;-0,001;0,038;-0,03;0,022;0,036;2,416;-328784;93311,02;-1029478;50192,93;-144639,2;-719238,9;243683,3;62292,82;-1092826;243711,5;174930,8;843293,3;50207,46;-97739,94;966476,1;-328740,2;147533,4;782490,1
0,06;-2,647;0,745;2,361;0;-0,005;-0,001;0,038;-0,03;0,022;0,036;2,416;-329241,8;92832,27;-1029075;50450,88;-144192,5;-719279,3;243552,7;61518,77;-1092695;243580,8;174739;844111,3;50465,27;-97253,05;965567,3;-329197,9;147073,5;783046,8
0,08;-2,647;0,745;2,361;0;-0,005;-0,001;0,038;-0,03;0,022;0,036;2,416;-329688,1;92361,32;-1028677;50701,95;-143753;-719322,8;243425;60758,7;-1092562;243453,1;174549;844912,1;50716,38;-96773,51;964676,4;-329644,3;146620,8;783593,4
0,1;-2,647;0,745;2,361;0;-0,005;-0,001;0,038;-0,03;0,022;0,036;2,416;-330153;91866,27;-1028258;50963,13;-143291,3;-719372;243291,8;59961,23;-1092417;243319,8;174348,1;845749,9;50977,61;-96268,86;963743,1;-330109,2;146144,8;784167,3
0,12;-2,644;0,751;2,364;0,193;0,326;0,2;0,778;0,033;-0,291;0,036;2,416;-329155,9;89448,47;-1027431;51088,37;-141752,1;-720185,2;243204,3;58073,9;-1092641;243431,8;171786,9;847491,1;50760,39;-95190,14;962429,3;-330304,1;144879,3;785518,5
0,14;-2,644;0,751;2,364;0,193;0,326;0,2;0,778;0,033;-0,291;0,036;2,416;-329722,3;88831,15;-1026905;51405,41;-141176,8;-720258,8;243041;57084,36;-1092446;243268,5;171532;848523,8;51077,41;-94559,37;961276,5;-330870,7;144284,8;786231,8
0,16;-2,644;0,751;2,364;0,193;0,326;0,2;0,778;0,033;-0,291;0,036;2,416;-330325,8;88165,89;-1026336;51742,41;-140557;-720344,1;242866,6;56020,76;-1092228;243094,1;171255,1;849630,1;51414,45;-93878,5;960039,8;-331474,1;143643,5;786999,1
0,18;-2,644;0,751;2,364;0,193;0,326;0,2;0,778;0,033;-0,291;0,036;2,416;-330752,1;87691,16;-1025928;51980,12;-140114,6;-720409,3;242743;55263,04;-1092068;242970,7;171055,8;850415,8;51652,12;-93391,8;959160,3;-331900,3;143185,4;787546
