Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-2,647;0,899;2,329;-0,005;-0,002;0;-0,02;0,004;0,007;0,019;2,433;-309927,2;98609,59;-961314,6;77494,41;-149435;-781735,6;193359,6;85246,06;-1062237;193362,8;158143,4;810539,1;77468,01;-94935,08;1032418;-309946,9;147218,9;709818,6
0,02;-2,647;0,899;2,329;-0,005;-0,002;0;-0,02;0,004;0,007;0,019;2,433;-310253,6;98121,2;-960479,8;77962,49;-148955,8;-782176,1;192898,3;84689,54;-1061985;192901,5;157760,6;811238;77936,02;-94483,77;1031902;-310273,3;146777;709929,2
0,04;-2,647;0,899;2,329;-0,005;-0,002;0;-0,02;0,004;0,007;0,019;2,433;-310990,3;96998,05;-958572,6;79020,49;-147855;-783188,8;191853,6;83413,58;-1061397;191856,6;156879;812834,3;78994,01;-93446,42;1030715;-311010;145762,1;710195,1
0,06;-2,647;0,899;2,329;-0,005;-0,002;0;-0,02;0,004;0,007;0,019;2,433;-311328,9;96472,12;-957685,6;79507,39;-147339,8;-783662,9;191371,8;82817,73;-1061116;191375;156465,5;813576,8;79480,95;-92960,84;1030160;-311348,7;145287,1;710325,3
0,08;-2,647;0,899;2,329;-0,005;-0,002;0;-0,02;0,004;0,007;0,019;2,433;-311728,8;95843,03;-956629,2;80083,06;-146724,2;-784230;190801,4;82106,63;-1060778;190804,5;155970,1;814461,3;80056,51;-92380,13;1029497;-311748,6;144719,5;710485,1
0,1;-2,647;0,899;2,329;-0,005;-0,002;0;-0,02;0,004;0,007;0,019;2,433;-312130,3;95202,66;-955558,9;80661,42;-146097,6;-784807,4;190227,3;81383,93;-1060429;190230,4;155464,9;815357,6;80635;-91788,99;1028822;-312150;144141,9;710653,1
0,12;-2,643;0,906;2,327;0,297;0,368;-0,043;-0,491;-0,494;-0,632;0,019;2,433;-311282,9;92612,01;-954229,5;80768,8;-145392,3;-785591,8;190392,4;79592,09;-1060368;191035,7;152284,7;817762,1;79674,48;-89467,38;1027951;-312227,2;142336;711873,2
0,14;-2,643;0,906;2,327;0,297;0,368;-0,043;-0,491;-0,494;-0,632;0,019;2,433;-311679,8;91960,63;-953151,6;81341,77;-144755,5;-786179,1;189821,8;78860,07;-1060005;190465,2;151769,4;818665;80247,48;-88866,27;1027265;-312624,2;141749;712054,2
0,16;-2,643;0,906;2,327;0,297;0,368;-0,043;-0,491;-0,494;-0,632;0,019;2,433;-312151;91175,26;-951858,7;82022,77;-143988,5;-786887,1;189142,5;77979,56;-1059562;189786;151147,4;819747,9;80928,39;-88141,79;1026440;-313095,4;141041,8;712278,6
0,18;-2,643;0,906;2,327;0,297;0,368;-0,043;-0,491;-0,494;-0,632;0,019;2,433;-312440,3;90686,91;-951058,1;82441,31;-143511,6;-787327,5;188724,5;77432,71;-1059284;189367,8;150759,8;820418,9;81346,97;-87691,1;1025926;-313384,7;140601,8;712421,8
0,2;-2,643;0,906;2,327;0,297;0,368;-0,043;-0,491;-0,494;-0,632;0,019;2,433;-312767,8;90127,68;-950145,1;82915,3;-142965,9;-787831,7;188250,4;76808,05;-1058964;188893,8;150315,7;821183,9;81820,84;-87175,44;1025339;-313712,2;140098,8;712588,6
0,22;-2,643;0,906;2,327;0,297;0,368;-0,043;-0,491;-0,494;-0,632;0,019;2,433;-313148,5;89469,25;-949074,6;83467,02;-142323,6;-788425,3;187697,8;76073,65;-1058583;188341,1;149792,1;822081,4;82372,73;-86568,15;1024648;-314092,9;139506,5;712789,6
0,24;-2,643;0,906;2,327;0,297;0,368;-0,043;-0,491;-0,494;-0,632;0,019;2,433;-313463,6;88917,82;-948181,4;83923,95;-141785,8;-788922,8;187239,5;75459,62;-1058260;187882,9;149353;822830,1;82829,63;-86059,6;1024070;-314408;139010,4;712961,4
0,26;-2,63;0,918;2,328;0,666;0,621;0,018;-0,375;-0,087;0,184;0,019;2,433;-313813,1;87829,29;-947348,1;83732,52;-140379,3;-790470,1;187137,6;73703,73;-1057684;187289,8;149298,6;823657,4;83332,65;-84709,43;1023428;-314249,2;137278,9;714552,8
0,28;-2,63;0,918;2,328;0,666;0,621;0,018;-0,375;-0,087;0,184;0,019;2,433;-314066,5;87374,63;-946617,9;84100,63;-139936,6;-790879,9;186767,4;73199,26;-1057414;186919,5;148935,8;824269,9;83700,69;-84290,24;1022952;-314502,8;136870,3;714700
0,3;-2,63;0,918;2,328;0,666;0,621;0,018;-0,375;-0,087;0,184;0,019;2,433;-314511,3;86567,29;-945325,7;84747,21;-139149,9;-791608,4;186116,2;72304,45;-1056931;186268,5;148290,3;825354,3;84347,42;-83545,49;1022106;-314947,3;136144,5;714967
0,32;-2,63;0,918;2,328;0,666;0,621;0,018;-0,375;-0,087;0,184;0,019;2,433;-314778;86076,79;-944544;85135,38;-138672,1;-792051,2;185724,8;71761,95;-1056635;185876,8;147897,5;826010,4;84735,48;-83093,25;1021593;-315214,2;135703,8;715132,2
0,34;-2,63;0,918;2,328;0,666;0,621;0,018;-0,375;-0,087;0,184;0,019;2,433;-315075,1;85524,84;-943667,3;85567,95;-138134,9;-792549,2;185288;71152,2;-1056300;185440,1;147455,3;826746,4;85168,1;-82584,16;1021016;-315511,2;135207,9;715320,9
0,36;-2,63;0,918;2,328;0,666;0,621;0,018;-0,375;-0,087;0,184;0,019;2,433;-315394,3;84925,13;-942717,9;86033,06;-137551,4;-793090,4;184817,8;70490,54;-1055933;184970;146974;827543,6;85633,19;-82030,9;1020389;-315830,4;134669,2;715529,6
0,38;-2,63;0,918;2,328;0,666;0,621;0,018;-0,375;-0,087;0,184;0,019;2,433;-315677;84387,92;-941870,6;86445,38;-137028,6;-793575,4;184400,5;69898,77;-1055602;184552,6;146542,5;828255,4;86045,54;-81535,57;1019827;-316113,1;134186,5;715719,5
0,4;-2,616;0,927;2,328;0,68;0,48;-0,018;0,034;-0,092;0,458;0,019;2,433;-316072,8;84377,91;-941177,5;86536,31;-135885,6;-794590,1;184150,7;69325,13;-1055068;184143,3;146263,3;828599,8;86512,04;-81252,13;1019371;-316050,6;133600,3;716714,8
0,42;-2,616;0,927;2,328;0,68;0,48;-0,018;0,034;-0,092;0,458;0,019;2,433;-316446,4;83652,16;-940040,8;87082;-135179,7;-795245,7;183597,1;68527,73;-1054615;183589,7;145678,7;829555,4;87057,81;-80582,91;1018613;-316424,3;132948,3;716979,2
0,44;-2,616;0,927;2,328;0,68;0,48;-0,018;0,034;-0,092;0,458;0,019;2,433;-316794,7;82966,67;-938971,3;87591,04;-134513,4;-795865;183079,8;67776,09;-1054184;183072,5;145126;830454,8;87566,85;-79950,45;1017898;-316772,5;132332,8;717233,3
0,46;-2,616;0,927;2,328;0,68;0,48;-0,018;0,034;-0,092;0,458;0,019;2,433;-317044,2;82470,14;-938199,3;87956,02;-134030,6;-796313,8;182708,6;67232,23;-1053869;182701,2;144724,9;831104,3;87931,72;-79492,26;1017380;-317022,1;131886,7;717420
0,48;-2,616;0,927;2,328;0,68;0,48;-0,018;0,034;-0,092;0,458;0,019;2,433;-317403,8;81746,19;-937077,6;88482,39;-133327,4;-796968;182172,4;66440,48;-1053408;182165;144139,7;832048;88458,09;-78824,47;1016625;-317381,5;131236,7;717696,3
0,5;-2,616;0,927;2,328;0,68;0,48;-0,018;0,034;-0,092;0,458;0,019;2,433;-317691,1;81160,45;-936173,6;88903,41;-132758,4;-797497,5;181743;65800,8;-1053032;181735,6;143665,5;832809,2;88879,23;-78283,86;1016015;-317668,9;130710,7;717923,4
0,52;-2,616;0,927;2,328;0,68;0,48;-0,018;0,034;-0,092;0,458;0,019;2,433;-317982,9;80559,1;-935248,3;89331,28;-132174,5;-798041,2;181306,1;65145,06;-1052644;181298,7;143178,2;833588,3;89307,09;-77728,95;1015388;-317960,8;130170,7;718159,4
0,54;-2,603;0,932;2,327;0,644;0,266;-0,037;0,067;-0,146;0,423;0,019;2,433;-318288,8;80083,4;-934192,9;89748,52;-131274,8;-798554,5;180870,4;64647,73;-1052189;180847,2;142591,8;834375,5;89763,34;-77298,18;1014664;-318258;129863,7;718496,2
0,56;-2,603;0,932;2,327;0,644;0,266;-0,037;0,067;-0,146;0,423;0,019;2,433;-318698,3;79217,47;-932871;90349,86;-130434,2;-799338;180254,6;63706,27;-1051622;180231,4;141888;835489,9;90364,66;-76498,59;1013762;-318667,5;129086;718846,8
0,58;-2,603;0,932;2,327;0,644;0,266;-0,037;0,067;-0,146;0,423;0,019;2,433;-319023,3;78520,25;-931811;90827,57;-129757,5;-799969,3;179764,7;62949,44;-1051163;179741,5;141320,6;836383,7;90842,33;-75854,98;1013037;-318992,5;128459,7;719133,9
0,6;-2,603;0,932;2,327;0,644;0,266;-0,037;0,067;-0,146;0,423;0,019;2,433;-319393,9;77714,09;-930590,4;91372,87;-128975,6;-800699,2;179204,7;62075,85;-1050628;179181,5;140663,4;837413,8;91387,73;-75110,69;1012199;-319363,1;127735,6;719470,8
0,62;-2,603;0,932;2,327;0,644;0,266;-0,037;0,067;-0,146;0,423;0,019;2,433;-319635,7;77182,16;-929787,7;91728,73;-128459,5;-801181,1;178838,8;61500,15;-1050272;178815,5;140229,2;838091,4;91743,57;-74619,27;1011646;-319605;127257,6;719695,9
0,64;-2,603;0,932;2,327;0,644;0,266;-0,037;0,067;-0,146;0,423;0,019;2,433;-320056,7;76243,38;-928376,5;92349,01;-127549;-802032,1;178200,1;60485,63;-1049641;178176,9;139461,8;839283,5;92363,81;-73752,14;1010671;-320025,9;126413,9;720099,3
0,66;-2,59;0,933;2,326;0,621;0,061;-0,03;0,019;-0,142;0,307;0,019;2,433;-320339,4;75601,18;-927298,1;92754,77;-126838,1;-802511,6;177775,2;59859,06;-1049178;177748,6;138903,5;840092;92784,05;-73221,53;1009920;-320326,7;125941,4;720308,1
0,68;-2,59;0,933;2,326;0,621;0,061;-0,03;0,019;-0,142;0,307;0,019;2,433;-320756,2;74644,13;-925871,4;93369,92;-125910,3;-803379,9;177139,9;58828,25;-1048526;177113,3;138118,6;841298,6;93399,29;-72337,06;1008927;-320743,5;125080,9;720731,9
