Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-2,612;0,844;2,304;-0,004;0,001;0;0,02;-0,017;0,007;0,033;2,381;-216708,3;95254,45;-929423,8;-37,68;-185563,8;-850695,4;225749,3;96272,31;-937303,3;225821,5;149868,8;685117,4;-41,605;-52915,48;1104237;-216678,7;150867,7;676870,4
0,02;-2,612;0,844;2,304;-0,004;0,001;0;0,02;-0,017;0,007;0,033;2,381;-216563,4;94830,62;-928614;-37,68;-185459,3;-851310,8;225597,4;95857,88;-936507,5;225669,5;149565,4;685044,4;-41,605;-52268,77;1104119;-216533,9;150574,4;676781,1
0,04;-2,612;0,844;2,304;-0,004;0,001;0;0,02;-0,017;0,007;0,033;2,381;-216201,2;93754,53;-926571,2;-37,68;-185189,8;-852862,6;225217,6;94805,27;-934499,4;225289,6;148794,8;684871,9;-41,605;-50632,46;1103807;-216171,7;149829,1;676568,3
0,06;-2,612;0,844;2,304;-0,004;0,001;0;0,02;-0,017;0,007;0,033;2,381;-216039,3;93265,86;-925649,3;-37,68;-185065,5;-853562,3;225047,8;94327;-933593,1;225119,9;148444,6;684799,8;-41,605;-49892,09;1103660;-216009,9;149490,2;676478,1
0,08;-2,612;0,844;2,304;-0,004;0,001;0;0,02;-0,017;0,007;0,033;2,381;-215891,6;92815,97;-924803,9;-37,68;-184949,8;-854204;224892,9;93886,61;-932761,8;224964,9;148122;684736,9;-41,605;-49212,04;1103522;-215862,1;149178;676398,8
0,1;-2,612;0,844;2,304;-0,004;0,001;0;0,02;-0,017;0,007;0,033;2,381;-215756,6;92401,06;-924026,8;-37,68;-184842,3;-854793,4;224751,3;93480,58;-931997,8;224823,4;147824,8;684681,5;-41,605;-48586,18;1103392;-215727,1;148890,3;676328,1
0,12;-2,612;0,844;2,304;-0,004;0,001;0;0,02;-0,017;0,007;0,033;2,381;-215624,3;91991,27;-923262;-37,68;-184735,2;-855373,4;224612,6;93079,39;-931245,9;224684,6;147531,1;684629,4;-41,605;-47969,42;1103261;-215594,8;148605,9;676261,3
0,14;-2,612;0,844;2,304;-0,004;0,001;0;0,02;-0,017;0,007;0,033;2,381;-215493,9;91583,91;-922504;-37,68;-184627,9;-855948,1;224475,8;92680,5;-930500,5;224547,8;147239;684580,3;-41,605;-47357,22;1103129;-215464,4;148323,1;676197,3
0,16;-2,611;0,855;2,297;0,023;0,608;-0,376;-0,14;0,193;0,37;0,033;2,381;-215847,9;89894,7;-921835,1;-90,185;-183794,7;-857107,5;224799,8;91480,18;-929964,6;224934,1;141305,6;685767,7;253,855;-46016,73;1103372;-215546,4;146054,9;678251,5
0,18;-2,611;0,855;2,297;0,023;0,608;-0,376;-0,14;0,193;0,37;0,033;2,381;-215699,3;89422,55;-920962,5;-90,185;-183668,2;-857768,5;224644;91017,84;-929106,7;224778,3;140967;685717;253,855;-45310,22;1103213;-215397,7;145726,7;678183,9
0,2;-2,611;0,855;2,297;0,023;0,608;-0,376;-0,14;0,193;0,37;0,033;2,381;-215522;88853,88;-919915,7;-90,185;-183514,3;-858561,5;224458,1;90460,78;-928077,3;224592,4;140558,9;685660,1;253,855;-44461,2;1103018;-215220,5;145331,2;678107,4
0,22;-2,611;0,855;2,297;0,023;0,608;-0,376;-0,14;0,193;0,37;0,033;2,381;-215367;88351,34;-918994,5;-90,185;-183377;-859259,3;224295,5;89968,37;-927171,1;224429,8;140198,2;685613,9;253,855;-43712,93;1102843;-215065,5;144981,4;678043,8
0,24;-2,611;0,855;2,297;0,023;0,608;-0,376;-0,14;0,193;0,37;0,033;2,381;-215234,9;87919,23;-918205;-90,185;-183257,8;-859857;224156,9;89545,11;-926394,8;224291,3;139888;685577,2;253,855;-43070,84;1102689;-214933,4;144680,6;677992,1
0,26;-2,611;0,855;2,297;0,023;0,608;-0,376;-0,14;0,193;0,37;0,033;2,381;-215088,8;87437,55;-917327,9;-90,185;-183123,9;-860521;224003,8;89073,02;-925532;224138;139541,7;685539,4;253,855;-42356,41;1102515;-214787,3;144345;677937,6
0,28;-2,611;0,855;2,297;0,023;0,608;-0,376;-0,14;0,193;0,37;0,033;2,381;-214946,4;86963,48;-916467,8;-90,185;-182991;-861172,1;223854,4;88608,47;-924686;223988,8;139201,2;685505,1;253,855;-41654,8;1102341;-214644,8;144014,4;677887,4
0,3;-2,611;0,855;2,297;0,023;0,608;-0,376;-0,14;0,193;0,37;0,033;2,381;-214818,1;86532,81;-915688,8;-90,185;-182869,4;-861761,4;223719,8;88186,4;-923919,8;223854,1;138891,5;685477;253,855;-41018,93;1102181;-214516,5;143714;677844,7
0,32;-2,611;0,855;2,297;0,023;0,608;-0,376;-0,14;0,193;0,37;0,033;2,381;-214686;86086,25;-914883,5;-90,185;-182742,3;-862370,8;223581,3;87748,62;-923127,5;223715,6;138570,3;685450,3;253,855;-40360,54;1102012;-214384,5;143402,2;677803
0,34;-2,611;0,855;2,297;0,023;0,608;-0,376;-0,14;0,193;0,37;0,033;2,381;-214546;85608,53;-914024,6;-90,185;-182605,3;-863020,4;223434,5;87280,29;-922282,7;223568,7;138226,5;685424,6;253,855;-39657,63;1101830;-214244,4;143068,5;677761,8
0,36;-2,614;0,866;2,286;-0,155;0,572;-0,541;0,427;-0,187;0,351;0,033;2,381;-214560,9;84322,61;-913029,4;-134,271;-181181,2;-864002,5;223465,7;85840,71;-921171,1;223615,2;138139,3;686756,6;6,376;-38203,16;1101488;-214559,8;141929,6;679279,3
0,38;-2,614;0,866;2,286;-0,155;0,572;-0,541;0,427;-0,187;0,351;0,033;2,381;-214436,2;83889,75;-912256,6;-134,271;-181055;-864586,8;223335;85416,1;-920410,6;223484,6;137827,5;686739,1;6,376;-37569,12;1101317;-214435,2;141627;679247,6
0,4;-2,614;0,866;2,286;-0,155;0,572;-0,541;0,427;-0,187;0,351;0,033;2,381;-214275,5;83326,47;-911254,6;-134,271;-180889,4;-865344,6;223166,4;84863,78;-919424,8;223315,9;137421,6;686720,1;6,376;-36745,91;1101092;-214274,4;141232,5;679210,6
0,42;-2,614;0,866;2,286;-0,155;0,572;-0,541;0,427;-0,187;0,351;0,033;2,381;-214153,2;82894,3;-910487,9;-134,271;-180761,3;-865924,3;223038,2;84439,75;-918670,4;223187,6;137109,6;686708,8;6,376;-36115,27;1100917;-214152,1;140929,4;679185,2
0,44;-2,614;0,866;2,286;-0,155;0,572;-0,541;0,427;-0,187;0,351;0,033;2,381;-214035;82473,18;-909743,3;-134,271;-180635,7;-866487,1;222914,2;84026,62;-917937,6;223063,7;136805,9;686699,6;6,376;-35501,93;1100745;-214033,8;140634,2;679162,8
0,46;-2,614;0,866;2,286;-0,155;0,572;-0,541;0,427;-0,187;0,351;0,033;2,381;-213914;82039,02;-908977,6;-134,271;-180505,1;-867065,9;222787,3;83600,62;-917184,3;222936,9;136492,5;686692,8;6,376;-34870,83;1100565;-213912,9;140329,5;679142,1
0,48;-2,614;0,866;2,286;-0,155;0,572;-0,541;0,427;-0,187;0,351;0,033;2,381;-213781,7;81560,33;-908136,1;-134,271;-180360,3;-867702,1;222648,5;83130,96;-916356,1;222798,1;136146,9;686687,8;6,376;-34176,44;1100365;-213780,7;139993,5;679122,3
0,5;-2,614;0,866;2,286;-0,155;0,572;-0,541;0,427;-0,187;0,351;0,033;2,381;-213659,4;81114,37;-907354,3;-134,271;-180224,3;-868292,9;222520,3;82693,17;-915586,8;222669,9;135824,6;686685,9;6,376;-33530,68;1100176;-213658,3;139680;679106,5
0,52;-2,614;0,866;2,286;-0,155;0,572;-0,541;0,427;-0,187;0,351;0,033;2,381;-213535,8;80660,05;-906560,1;-134,271;-180084,9;-868893;222390,7;82247,48;-914805,4;222540,3;135496,1;686686,5;6,376;-32874,02;1099981;-213534,8;139360,7;679092,9
0,54;-2,614;0,866;2,286;-0,155;0,572;-0,541;0,427;-0,187;0,351;0,033;2,381;-213401,1;80160,79;-905690,1;-134,271;-179930,7;-869550,6;222249,4;81757,29;-913949;222398,9;135134,8;686690,2;6,376;-32153,97;1099765;-213400;139009,1;679081,3
0,56;-2,616;0,873;2,275;-0,15;0,346;-0,547;0,699;-0,053;0,352;0,033;2,381;-213174,9;79494,65;-904425,7;-1,679;-178898,5;-870150,3;222122,6;80791,56;-912690,5;222117,2;137300;687678,5;-23,43;-31179,42;1099271;-213267,3;139032,5;679107,2
0,58;-2,616;0,873;2,275;-0,15;0,346;-0,547;0,699;-0,053;0,352;0,033;2,381;-213057,9;79052,36;-903660,4;-1,679;-178759,3;-870728,8;221999,9;80357,29;-911937,1;221994,4;136979,7;687687,6;-23,43;-30544,36;1099074;-213150,2;138720,6;679103,2
0,6;-2,616;0,873;2,275;-0,15;0,346;-0,547;0,699;-0,053;0,352;0,033;2,381;-212902,5;78460,32;-902639,1;-1,679;-178572;-871500,4;221837;79775,93;-910931,9;221831,5;136550,5;687703,7;-23,43;-29696,04;1098808;-212994,9;138302,7;679101,5
0,62;-2,616;0,873;2,275;-0,15;0,346;-0,547;0,699;-0,053;0,352;0,033;2,381;-212764,7;77930,03;-901727,4;-1,679;-178402,7;-872189,6;221692,4;79255,2;-910034,4;221687;136165,6;687721,7;-23,43;-28937,7;1098567;-212857,1;137927,9;679103,8
0,64;-2,616;0,873;2,275;-0,15;0,346;-0,547;0,699;-0,053;0,352;0,033;2,381;-212641,4;77451,42;-900907,1;-1,679;-178248,9;-872809,4;221563,1;78785,13;-909226,9;221557,6;135818;687740,8;-23,43;-28254,89;1098347;-212733,8;137589,3;679108,8
0,66;-2,616;0,873;2,275;-0,15;0,346;-0,547;0,699;-0,053;0,352;0,033;2,381;-212520,7;76979,2;-900100,1;-1,679;-178095,9;-873419,6;221436,5;78321,37;-908432,4;221431;135474,8;687762,2;-23,43;-27582,47;1098128;-212613,1;137254,9;679116,6
0,68;-2,616;0,873;2,275;-0,15;0,346;-0,547;0,699;-0,053;0,352;0,033;2,381;-212403;76514,96;-899308,7;-1,679;-177944,6;-874017,6;221313;77865,26;-907653,4;221307,6;135137,2;687785,8;-23,43;-26922,58;1097910;-212495,3;136925,9;679126,8
0,7;-2,616;0,873;2,275;-0,15;0,346;-0,547;0,699;-0,053;0,352;0,033;2,381;-212244,7;75885,35;-898238,9;-1,679;-177737,8;-874826,4;221147;77246,7;-906600,3;221141,6;134678,7;687821,9;-23,43;-26029,3;1097612;-212337,1;136479,1;679144,8
0,72;-2,616;0,873;2,275;-0,15;0,346;-0,547;0,699;-0,053;0,352;0,033;2,381;-212129,3;75422,31;-897454,8;-1,679;-177584,5;-875419,3;221026,1;76791,55;-905827,9;221020,6;134341,4;687851,3;-23,43;-25373,81;1097390;-212221,6;136150,3;679161
