Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-2,645;0,657;2,314;0,001;-0,003;-0,006;-0,008;0,009;0,008;0,012;1,064;-161583,6;99351,93;-978159;-100744;-148555,3;-776488,4;362397,2;94472,03;-1034035;170594,5;145528,9;736366,9;100823,8;-95534,77;1027071;-350714,1;149140,3;781393,1
0,02;-2,645;0,657;2,314;0,001;-0,003;-0,006;-0,008;0,009;0,008;0,012;1,064;-161293,6;98979,79;-977633,9;-101081,5;-148171,9;-776824,3;362747,8;94098,82;-1033687;170298;145153,7;736613,8;101161,2;-95176,82;1026645;-351063,2;148772,3;781815,6
0,04;-2,645;0,657;2,314;0,001;-0,003;-0,006;-0,008;0,009;0,008;0,012;1,064;-160517,3;97956,84;-976201,6;-101985,5;-147119,1;-777751,1;363687,3;93072,71;-1032726;169504,4;144122,5;737302,5;102065,4;-94191,39;1025476;-351999;147760,7;782974,4
0,06;-2,645;0,657;2,314;0,001;-0,003;-0,006;-0,008;0,009;0,008;0,012;1,064;-160205,6;97534,51;-975614,9;-102348,6;-146684,9;-778135;364064,8;92649,13;-1032329;169185,8;143697,1;737590,8;102428,4;-93784,45;1024995;-352375,2;147342,8;783452,1
0,08;-2,645;0,657;2,314;0,001;-0,003;-0,006;-0,008;0,009;0,008;0,012;1,064;-159912,1;97130,44;-975056,1;-102690,6;-146269,6;-778503,4;364420,6;92244,18;-1031949;168885,7;143290,2;737869;102770,4;-93394,9;1024537;-352729,5;146943,2;783908,3
0,1;-2,645;0,657;2,314;0,001;-0,003;-0,006;-0,008;0,009;0,008;0,012;1,064;-159651,5;96766,54;-974554,8;-102994,4;-145895,7;-778835,8;364736,7;91879,4;-1031606;168619,3;142923,5;738121,6;103074,1;-93043,85;1024124;-353044,3;146583,3;784318,8
0,12;-2,645;0,657;2,314;0,001;-0,003;-0,006;-0,008;0,009;0,008;0,012;1,064;-159380,8;96383,01;-974028,4;-103310;-145501,8;-779187;365065,1;91494,98;-1031245;168342,5;142537,3;738389,5;103389,7;-92673,61;1023690;-353371,7;146203,8;784751,1
0,14;-2,645;0,657;2,314;0,001;-0,003;-0,006;-0,008;0,009;0,008;0,012;1,064;-159120,8;96009,45;-973518;-103613,1;-145118,5;-779529,4;365380,7;91120,84;-1030893;168076,8;142161,2;738652,3;103692,8;-92313,08;1023268;-353685,9;145834,3;785171,4
0,16;-2,645;0,666;2,313;-0,017;0,551;-0,102;-0,389;1,599;-0,173;0,012;1,064;-159718,7;94066,86;-972990,9;-103009,8;-144242,6;-780494,2;364797,9;89630,67;-1030709;169159;137124,2;739917,5;102674,2;-90743,35;1023010;-353073;144372,6;786482,1
0,18;-2,645;0,666;2,313;-0,017;0,551;-0,102;-0,389;1,599;-0,173;0,012;1,064;-159482,4;93717,63;-972517,3;-103285,4;-143884,6;-780815,5;365085;89280,91;-1030380;168917,3;136772,9;740166,1;102949,9;-90405,9;1022617;-353359,1;144027;786874,7
0,2;-2,645;0,666;2,313;-0,017;0,551;-0,102;-0,389;1,599;-0,173;0,012;1,064;-159161,6;93236,23;-971867;-103659,6;-143391,3;-781259,6;365474,9;88798,81;-1029925;168589,6;136288,6;740511,8;103324;-89940,66;1022076;-353747,7;143550,8;787414,9
0,22;-2,645;0,666;2,313;-0,017;0,551;-0,102;-0,389;1,599;-0,173;0,012;1,064;-158904,2;92843,54;-971338,8;-103960,1;-142988,8;-781622,8;365788,1;88405,8;-1029554;168326,3;135893,3;740796;103624,4;-89560,98;1021636;-354059,6;143162;787855,4
0,24;-2,645;0,666;2,313;-0,017;0,551;-0,102;-0,389;1,599;-0,173;0,012;1,064;-158662,2;92468,81;-970836,9;-104242,6;-142605;-781969,8;366082,6;88030,68;-1029199;168078,8;135516,6;741068,7;103907;-89198,63;1021217;-354353;142791,4;788275,3
0,26;-2,645;0,666;2,313;-0,017;0,551;-0,102;-0,389;1,599;-0,173;0,012;1,064;-158435;92112,41;-970361;-104507,8;-142240,1;-782300,6;366359,2;87673,96;-1028862;167846,5;135157,9;741329,8;104172,1;-88853,65;1020818;-354628,7;142438,5;788674,4
0,28;-2,645;0,666;2,313;-0,017;0,551;-0,102;-0,389;1,599;-0,173;0,012;1,064;-158188,7;91720,32;-969839,6;-104795,5;-141838,9;-782665,1;366659,3;87281,58;-1028491;167594,6;134763,6;741618,7;104459,9;-88474,05;1020381;-354927,6;142050,6;789113
0,3;-2,645;0,666;2,313;-0,017;0,551;-0,102;-0,389;1,599;-0,173;0,012;1,064;-157972,3;91371,3;-969377;-105048,2;-141481,9;-782990,2;366922,9;86932,38;-1028160;167373,4;134412,7;741877,3;104712,5;-88136,09;1019992;-355190,4;141705,2;789503,1
0,32;-2,645;0,666;2,313;-0,017;0,551;-0,102;-0,389;1,599;-0,173;0,012;1,064;-157727;90969,74;-968846,7;-105334,8;-141071,4;-783364,6;367222;86530,63;-1027780;167122,5;134009;742176,6;104999,3;-87747,17;1019545;-355488,4;141307,8;789951,7
0,34;-2,645;0,666;2,313;-0,017;0,551;-0,102;-0,389;1,599;-0,173;0,012;1,064;-157508,2;90606,59;-968369;-105590,4;-140700,4;-783703,9;367488,8;86167,46;-1027436;166898,8;133644,2;742448,7;105254,8;-87395,41;1019142;-355754,4;140948,5;790356,8
0,36;-2,646;0,678;2,311;-0,047;0,578;-0,096;0,398;1,697;-0,16;0,012;1,064;-157612,1;89518,5;-967864,8;-105309,1;-139140,3;-785199,8;367223,7;84793,51;-1026840;166688,4;133810,6;743873,7;105194,1;-86101,84;1018568;-355466,4;139742,2;791695,3
0,38;-2,646;0,678;2,311;-0,047;0,578;-0,096;0,398;1,697;-0,16;0,012;1,064;-157401,1;89158,54;-967394,5;-105555,7;-138772,5;-785537,4;367481,2;84433,59;-1026498;166472,7;133448,7;744146,7;105440,7;-85752,77;1018170;-355723,1;139385,7;792096,6
0,4;-2,646;0,678;2,311;-0,047;0,578;-0,096;0,398;1,697;-0,16;0,012;1,064;-157138,8;88704,09;-966803;-105862,3;-138308,7;-785964,3;367801,4;83979,17;-1026067;166204,4;132992,2;744493,4;105747,2;-85312,04;1017668;-356042,2;138936,1;792602,4
0,42;-2,646;0,678;2,311;-0,047;0,578;-0,096;0,398;1,697;-0,16;0,012;1,064;-156916,7;88313,53;-966296,3;-106122;-137909,8;-786332,3;368072,8;83588,57;-1025696;165977,4;132599,4;744793,3;106007;-84932,76;1017237;-356312,6;138549,2;793037,5
0,44;-2,646;0,678;2,311;-0,047;0,578;-0,096;0,398;1,697;-0,16;0,012;1,064;-156703,1;87932,38;-965803,7;-106371,8;-137520,9;-786691,8;368333,9;83207,35;-1025334;165758,8;132216,3;745087,4;106256,7;-84562,77;1016817;-356572,8;138171,6;793461,7
0,46;-2,646;0,678;2,311;-0,047;0,578;-0,096;0,398;1,697;-0,16;0,012;1,064;-156509,1;87581,41;-965351,4;-106598,8;-137162,9;-787023,4;368571,1;82856,52;-1025000;165560,4;131863,6;745359,5;106483,7;-84221,8;1016431;-356809,3;137824,2;793851,7
0,48;-2,646;0,678;2,311;-0,047;0,578;-0,096;0,398;1,697;-0,16;0,012;1,064;-156290,2;87179,86;-964835,9;-106854,9;-136753,5;-787403,5;368838,9;82455;-1024618;165336,6;131460,2;745672,5;106739,9;-83831,7;1015990;-357076,3;137426,6;794297,9
0,5;-2,646;0,678;2,311;-0,047;0,578;-0,096;0,398;1,697;-0,16;0,012;1,064;-156067;86764,38;-964304,2;-107116,1;-136330;-787797,3;369111,9;82039,57;-1024223;165108,3;131042,7;745998,2;107001;-83427,83;1015535;-357348,5;137015,1;794759,3
