Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-2,669;0,887;2,305;-0,004;-0,001;0,001;0,014;0,039;0,004;0,017;1,058;-350861,3;94396,22;-1031748;100687,1;-148387,3;-777051,4;170454,1;99330,34;-986329,2;362598,7;149901,5;783548,3;-100893,2;-95739;1026902;-161489,7;145433,3;727726,7
0,02;-2,669;0,887;2,305;-0,004;-0,001;0,001;0,014;0,039;0,004;0,017;1,058;-351180,4;94052,1;-1031438;100995,7;-148036;-777359,4;170183,1;98993,26;-985859,6;362919,3;149563;783926,3;-101201,8;-95410,97;1026511;-161224,7;145093,1;727941,4
0,04;-2,669;0,887;2,305;-0,004;-0,001;0,001;0,014;0,039;0,004;0,017;1,058;-352027,6;93117,65;-1030592;101814,1;-147082,3;-778198,8;169464,6;98077,05;-984592,2;363769,7;148642,7;784952,1;-102020,3;-94518,38;1025453;-160521,8;144168,9;728533,9
0,06;-2,669;0,887;2,305;-0,004;-0,001;0,001;0,014;0,039;0,004;0,017;1,058;-352403,9;92692,49;-1030207;102177,4;-146648,5;-778582,4;169145,8;97659,85;-984019,1;364147,5;148223,8;785418,4;-102383,6;-94111,81;1024973;-160210;143748,1;728807,9
0,08;-2,669;0,887;2,305;-0,004;-0,001;0,001;0,014;0,039;0,004;0,017;1,058;-352739;92308,27;-1029857;102500,9;-146256,5;-778930;168862;97282,59;-983503,2;364484;147845,1;785839,6;-102707,1;-93744,08;1024539;-159932,4;143367,9;729058
0,1;-2,669;0,887;2,305;-0,004;-0,001;0,001;0,014;0,039;0,004;0,017;1,058;-353114,4;91871,49;-1029460;102863;-145811,1;-779325,9;168544,3;96853,59;-982919;364860,8;147414,6;786317,9;-103069,2;-93325,79;1024048;-159621,7;142935,5;729344,9
0,12;-2,669;0,887;2,305;-0,004;-0,001;0,001;0,014;0,039;0,004;0,017;1,058;-353455,2;91469,03;-1029093;103191,7;-145400,8;-779691,8;168256,1;96458,22;-982382,7;365202,9;147017,7;786758,7;-103397,9;-92940,06;1023596;-159339,7;142537,1;729611,4
0,14;-2,669;0,887;2,305;-0,004;-0,001;0,001;0,014;0,039;0,004;0,017;1,058;-353811,3;91042,14;-1028704;103535;-144965,5;-780080,8;167955;96038,48;-981816;365560,3;146596,5;787226;-103741,2;-92530,8;1023117;-159045,4;142114,3;729897
0,16;-2,669;0,896;2,302;-0,009;0,494;-0,189;-0,287;-1,033;-0,273;0,017;1,058;-352729,6;89140,9;-1028181;103187,5;-143995,4;-781097,1;168499,4;94746,89;-981866,3;364572,9;142759,1;788388,5;-102680,5;-90655,67;1022858;-159454,4;140622;731285,6
0,18;-2,669;0,896;2,302;-0,009;0,494;-0,189;-0,287;-1,033;-0,273;0,017;1,058;-353030,5;88769,72;-1027841;103477,4;-143617,1;-781437;168245,3;94381,75;-981377,2;364874,9;142392,7;788794,4;-102970,4;-90299,33;1022443;-159205,9;140254;731538,3
