Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-2,668;0,892;2,327;0;0,002;-0,001;0,004;0,005;-0,009;0,062;2,746;-170237;-771463,7;-82065,05;-57,733;-873984;18311,12;190995;-675946,4;-173777,8;199072;770491,2;50313,36;85,397;902840,6;-42396,66;-199161;770108,3;50080,76
0,02;-2,668;0,892;2,327;0;0,002;-0,001;0,004;0,005;-0,009;0,062;2,746;-165016,5;-734873,5;-124649,5;-57,733;-861668,4;-12085,89;185788,2;-635449,6;-221324,3;194354,1;742140,8;82591,59;85,397;917987,6;-51647,22;-194443;741757,9;82358,98
0,04;-2,667;0,897;2,328;0,028;0,292;0,028;-0,198;0,178;0,038;0,062;2,746;-164872,5;-724803,9;-137803,8;-141,3;-823426,3;-73219,04;185385,8;-624445,8;-235631,3;193839,7;709644,8;126895,5;264,167;915800,7;-46317,13;-193835,9;710791,9;126947,5
0,06;-2,667;0,897;2,328;0,028;0,292;0,028;-0,198;0,178;0,038;0,062;2,746;-164382,9;-717008,5;-148276,9;-141,3;-775124,2;-148761,1;184895;-615257,8;-247904,2;193012,9;669698,3;184768;264,167;914578,1;-43087,91;-193009;670845,5;184819,9
0,08;-2,667;0,897;2,328;0,028;0,292;0,028;-0,198;0,178;0,038;0,062;2,746;-163950,5;-710126,1;-157502,1;-141,3;-718013,8;-237121,6;184461,2;-607137,6;-258714,6;192251,9;621326,6;254642,5;264,167;913557,3;-40318,35;-192248,1;622473,8;254694,4
0,1;-2,667;0,897;2,329;0,018;0;0,06;-0,306;0,088;0,148;0,062;2,746;-163766,9;-704930,1;-165368,3;-45,316;-655850,1;-331620,6;184437,3;-601091,1;-267410,1;191604,7;571604,8;330635,3;50,676;911843,3;-36874,32;-191647,6;569765,2;330652,5
0,12;-2,667;0,897;2,329;0,018;0;0,06;-0,306;0,088;0,148;0,062;2,746;-163410,7;-699522,4;-172545,5;-45,316;-588912,8;-432598,9;184079,6;-594708,7;-275815,3;190942,5;513250,4;412719,3;50,676;911262,6;-34981,91;-190985,3;511410,8;412736,6
0,14;-2,666;0,892;2,33;0,022;-0,26;0,045;-0,3;-0,02;0,155;0,062;2,746;-163062,3;-695662,3;-178519,6;-24,895;-523683,7;-528666,3;183785,2;-589889,1;-282872,1;190357,4;455770,4;491138,8;-75,528;910958;-33598,36;-190388,3;454789,4;491121,1
0,16;-2,666;0,892;2,33;0,022;-0,26;0,045;-0,3;-0,02;0,155;0,062;2,746;-162779,6;-691506;-183994,7;-24,895;-458045,4;-623936,7;183501,1;-584977,8;-289286,6;189790,5;398094,4;568569,4;-75,528;910642,4;-32312,97;-189821,3;397113,4;568551,8
0,18;-2,666;0,892;2,33;0,022;-0,26;0,045;-0,3;-0,02;0,155;0,062;2,746;-162533,3;-687899,4;-188737,1;-24,895;-396365,2;-711301,3;183253,5;-580711,2;-294846,3;189270,5;343951,7;639233,6;-75,528;910397,1;-31236,53;-189301,3;342970,7;639215,9
