Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-2,7;0,992;2,324;-0,005;0,001;0;-0,006;0,006;0,011;0,103;1,678;-308336,2;-785488,3;-93696,64;83030,84;-128340,5;-947517,2;126966,3;-813836,7;-66862,69;304770,8;127519,9;945592,5;-93804,1;688262,3;191796,7;-139561,5;136425,9;1003082
0,02;-2,7;0,992;2,324;-0,005;0,001;0;-0,006;0,006;0,011;0,103;1,678;-321230,4;-768147;-112221,8;95594,9;-92280,72;-985413,4;110869,2;-815998,4;-65892,44;315398,9;91053,7;978940,5;-107310,7;679409,8;202071,7;-124895,2;98595,66;1049000
0,04;-2,703;0,989;2,323;-0,007;0,024;0,219;-0,17;-0,226;0,542;0,103;1,678;-321176,3;-766727,8;-113709;94895,09;-84510,85;-991060,1;111552,4;-814840,7;-67030,16;314827,1;85855,02;981243;-105906,6;679036,1;202565,1;-125302,8;90382,2;1055694
0,06;-2,703;0,989;2,323;-0,007;0,024;0,219;-0,17;-0,226;0,542;0,103;1,678;-320925,1;-766587,8;-114077,1;95119,23;-72175,53;-1004355;111873,4;-814361;-67721,92;315014,4;73607,56;994340,1;-105641,4;678647,4;203209,6;-125037,4;77194,38;1070141
0,08;-2,707;0,988;2,324;-0,245;-0,029;0,062;-0,107;0,434;0,2;0,103;1,678;-319379,8;-766976,6;-113994,1;95271,56;-66401,06;-1011973;112925,3;-813730,1;-68709,41;315041,8;64916,17;1005251;-105393,1;678534,7;203556,7;-125089,8;70469,2;1079459
0,1;-2,707;0,988;2,324;-0,245;-0,029;0,062;-0,107;0,434;0,2;0,103;1,678;-318876,8;-767253,3;-113887,4;95198,22;-57750,97;-1021174;113567,3;-813275,4;-69321,7;314980,4;56333,83;1014399;-104861,4;678406,6;203874,7;-125176,8;61219,78;1089337
0,12;-2,707;0,988;2,324;-0,245;-0,029;0,062;-0,107;0,434;0,2;0,103;1,678;-318273,5;-767693,3;-113594,6;95001,4;-50483,2;-1028879;114335,7;-812828,7;-69904,58;314815,4;49124,81;1022110;-104224,2;678380,2;204065,9;-125410;53448,38;1097541
0,14;-2,711;0,988;2,326;-0,214;-0,012;0,1;0,055;0,456;-0,062;0,103;1,678;-317411,8;-768324,8;-113264,1;94813,26;-44875,83;-1036135;115345,8;-812330,3;-70723,62;314550,8;43912,63;1029109;-103561,8;678587,6;204047;-125713,7;47685,79;1105332
0,16;-2,711;0,988;2,326;-0,214;-0,012;0,1;0,055;0,456;-0,062;0,103;1,678;-316604,3;-769072,2;-112627,5;94367,69;-39718,48;-1041609;116368,8;-811880,7;-71274,99;314176,9;38799,52;1034703;-102711,3;678740,7;204016,9;-126241;42170,57;1111019
0,18;-2,715;0,987;2,329;-0,152;-0,028;0,143;0,076;0,371;0,031;0,103;1,678;-315770,1;-769966,4;-111977,5;93841,2;-35263,64;-1046499;117565,8;-811579,6;-71650,84;313706,1;34710,24;1039523;-101826,9;678922,4;203879,6;-126869,8;37521,8;1115938
0,2;-2,715;0,987;2,329;-0,152;-0,028;0,143;0,076;0,371;0,031;0,103;1,678;-314752,8;-771003,2;-111023,3;93144,2;-31577,7;-1050464;118845,6;-811105,3;-72200,7;313120,3;31057,72;1043717;-100759,2;679233,1;203661,1;-127693,1;33579,25;1119887
0,22;-2,715;0,987;2,329;-0,152;-0,028;0,143;0,076;0,371;0,031;0,103;1,678;-313628,3;-772179,4;-109918;92320,53;-28454,46;-1053863;120254,4;-810611,3;-72759,25;312427,2;27963,73;1047399;-99581,32;679614,8;203358;-128664,5;30238,04;1123171
0,24;-2,716;0,987;2,332;-0,09;-0,012;0,147;0,004;0,163;0,038;0,103;1,678;-312539,3;-773489,6;-108733,9;91419,88;-25779,36;-1056885;121859,3;-810235,4;-73219,49;311656,6;25534,46;1050664;-98315,41;680057,7;202871,2;-129763,2;27330,3;1126004
0,26;-2,717;0,987;2,335;-0,049;-0,003;0,134;-0,016;0,042;-0,002;0,103;1,678;-311216;-774952;-107420,4;90374,81;-23519,89;-1059464;123492,7;-809729,5;-73834,77;310763,1;23372,59;1053590;-96946,33;680550,3;202351,3;-131007;24898,94;1128296
0,28;-2,717;0,987;2,335;-0,049;-0,003;0,134;-0,016;0,042;-0,002;0,103;1,678;-309760,3;-776526,8;-105889,2;89168,03;-21612,37;-1061672;125289,7;-809150,8;-74451,75;309742,8;21485,17;1056240;-95432,74;681119,4;201829,6;-132422,3;22856,35;1130133
