Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-0,04;1,919;0,441;0,002;0;-0,001;-0,008;-0,011;0,005;0,238;12,413;-309738,8;99129,99;-961876,7;77243,82;-149924;-781388,1;193559,3;85440,73;-1062303;193561,8;158306,3;810242,9;77248,98;-95038,27;1032582;-309734,2;147223,1;709991,4
0,02;-0,04;1,919;0,441;0,002;0;-0,001;-0,008;-0,011;0,005;0,238;12,413;-310484,6;98010,98;-959965,9;78313,54;-148826,5;-782397;192504,9;84166,55;-1061724;192507,5;157429,6;811842,1;78318,69;-94004,66;1031399;-310480,1;146211,4;710246,3
0,04;-0,04;1,919;0,441;0,002;0;-0,001;-0,008;-0,011;0,005;0,238;12,413;-311235,1;96855,46;-958010,6;79392,09;-147694,4;-783438,9;191438,7;82855,63;-1061113;191441,3;156521,7;813478,8;79397,3;-92937,63;1030179;-311230,6;145167,6;710526,3
0,06;-0,04;1,919;0,441;0,002;0;-0,001;-0,008;-0,011;0,005;0,238;12,413;-311464,8;96495,71;-957405,6;79722,73;-147342;-783763,4;191111,2;82448,59;-1060920;191113,7;156238,3;813985,5;79727,87;-92605,52;1029799;-311460,4;144842,8;710616,9
0,08;-0,04;1,919;0,441;0,002;0;-0,001;-0,008;-0,011;0,005;0,238;12,413;-311723;96087,8;-956721,6;80094,41;-146943;-784130,8;190742,7;81987,81;-1060700;190745,3;155917,1;814557,9;80099,57;-92229,06;1029369;-311718,5;144474,9;710721,5
0,1;-0,04;1,919;0,441;0,002;0;-0,001;-0,008;-0,011;0,005;0,238;12,413;-311961,4;95708,06;-956086,8;80437,89;-146571,3;-784473,4;190401,9;81559,09;-1060493;190404,4;155617,6;815089,8;80443,08;-91878,51;1028969;-311957;144132,4;710820,8
0,12;-0,04;1,919;0,441;0,002;0;-0,001;-0,008;-0,011;0,005;0,238;12,413;-312195,8;95331,56;-955459,1;80775,66;-146203;-784812,8;190066,3;81134,8;-1060287;190068,8;155320,5;815615,3;80780,85;-91531,03;1028573;-312191,3;143792,8;710920,8
0,14;-0,04;1,929;0,439;0,102;0,444;-0,072;0,152;0,81;-0,303;0,238;12,413;-311514,6;94631,77;-954843,7;81566,05;-145893,4;-785181,9;190432,2;80438,26;-1060067;190859;152784,4;817067,4;81302,02;-91267,84;1028241;-312018,5;142935,6;711413,9
0,16;-0,04;1,929;0,439;0,102;0,444;-0,072;0,152;0,81;-0,303;0,238;12,413;-311933,7;93945,26;-953706,9;82171,05;-145222,3;-785800,8;189830;79666,73;-1059685;190256,7;152241,4;818019,7;81907;-90634,54;1027519;-312437,5;142317;711603,7
0,18;-0,04;1,929;0,439;0,102;0,444;-0,072;0,152;0,81;-0,303;0,238;12,413;-312213,7;93481,07;-952941,3;82575,58;-144768,9;-786219,3;189426,7;79145,8;-1059425;189853,5;151873,8;818661;82311,54;-90206,14;1027031;-312717,6;141899;711734,9
