Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-0,04;1,919;0,441;0;0,002;-0,006;-0,012;0,001;0,006;0,103;12,197;-182389,4;87444,81;-1056379;-77571,92;-149605,4;-781692;320170,1;99087,92;-965429,4;320171,9;146597,7;714308,2;-77559,82;-94734,17;1032226;-182387,8;155911,7;805214,4
0,02;-0,039;1,929;0,441;0,034;0,47;0,022;0,366;-0,591;-0,063;0,103;12,197;-182245,1;86118,21;-1055915;-78526,3;-148621,5;-782620,2;320295;98187,98;-963897,8;319828,6;143750,8;715517,9;-78588,14;-93876,7;1031361;-181992,3;154699,3;806933
0,04;-0,039;1,929;0,441;0,034;0,47;0,022;0,366;-0,591;-0,063;0,103;12,197;-177183,9;79784,53;-1052725;-83635,84;-143007;-787797;323790,2;92485,59;-954277,3;323323,9;138537,3;716998,5;-83697,64;-88577,42;1025315;-176931,1;150036,8;814903,3
0,06;-0,037;1,974;0,441;0,025;1,173;-0,064;0,25;-0,228;-0,168;0,103;12,197;-176798,9;77296,41;-1052033;-84656,56;-141492,8;-789346,6;323827,4;90561,88;-952377,3;323855,2;137330,2;717727,1;-84219,78;-87003,8;1024076;-176345,5;147968,4;817346,4
0,08;-0,037;1,974;0,441;0,025;1,173;-0,064;0,25;-0,228;-0,168;0,103;12,197;-172725,5;71689,52;-1048878;-88709,69;-136460,5;-794011,7;326572,5;85421,99;-944102,2;326600,2;132658,6;719432,6;-88272,88;-82236,17;1018669;-172271,9;143722,4;824224,2
0,1;-0,037;2,003;0,433;-0,052;1,419;-0,392;0,189;-0,138;0,183;0,103;12,197;-170792,2;68448,05;-1047156;-90587,76;-133250;-796999,9;327837,2;82242,7;-939853,6;328002,1;130351,9;720718,7;-89911,48;-78995,77;1015818;-170678,1;141201,2;827723,8
0,12;-0,037;2,031;0,424;-0,003;1,386;-0,463;0,101;0,169;0,284;0,103;12,197;-166737,6;62220,45;-1043262;-94319,07;-126948,9;-802845,8;330525,4;75827,88;-930867,6;331051,3;124939,2;723414,1;-93340,78;-72908,27;1009699;-166799,3;136154,8;834978,1
0,14;-0,037;2,031;0,424;-0,003;1,386;-0,463;0,101;0,169;0,284;0,103;12,197;-165662,4;60480,78;-1042135;-95365,13;-125357,5;-804335,7;331223,4;74192,8;-928410,3;331749,2;123457,2;724130,5;-94386,8;-71390,7;1007996;-165724,1;134779,1;837039,1
0,16;-0,035;2,059;0,41;0,069;1,332;-0,647;0,19;0,232;0,288;0,103;12,197;-164825,8;59145,31;-1041142;-95792,31;-123740,2;-805599,4;331789,6;72604,84;-926335,9;332337,9;122303,4;725059,1;-94849,5;-69828,52;1006560;-164951;133587,5;838600,5
0,18;-0,035;2,059;0,41;0,069;1,332;-0,647;0,19;0,232;0,288;0,103;12,197;-161562,9;53514,93;-1037330;-98941,41;-118554,9;-810473,6;333880,4;67269,73;-918508,1;334428,8;117463,4;727596,6;-97998,67;-64871,14;1001020;-161688;129065,2;845195,6
0,2;-0,033;2,085;0,39;0,077;1,312;-0,946;0,297;0,178;0,159;0,103;12,197;-160983;52481,93;-1036489;-98977,09;-117500,9;-811305,3;334263;66228,45;-916827,6;334572,8;116306;728453,1;-98463,27;-63933,82;999866,3;-161108,4;128164,7;846457
0,22;-0,033;2,085;0,39;0,077;1,312;-0,946;0,297;0,178;0,159;0,103;12,197;-160249,1;51138,59;-1035546;-99680,5;-116256,4;-812479,6;334728;64947,04;-914985,8;335037,7;115141,6;729103,9;-99166,51;-62741,36;998539;-160374,4;127071,2;848016
0,24;-0,032;2,108;0,369;0,045;1,115;-1,012;0,397;0,1;0,111;0,103;12,197;-159545,5;49785,52;-1034497;-99958,14;-115026,8;-813657;335168,6;63711,09;-912974,3;335209,2;114341,2;730019,9;-99858,59;-61745,21;997087,6;-159617,4;125973,9;849638,6
0,26;-0,032;2,108;0,369;0,045;1,115;-1,012;0,397;0,1;0,111;0,103;12,197;-156303,3;43439,16;-1029881;-103044;-109110,6;-819262,6;337199,6;57615,45;-904401,4;337240,1;108789;733324,8;-102944,4;-56061,51;990788,4;-156375,2;120732,4;856935,3
0,28;-0,031;2,126;0,349;0,014;0,895;-0,908;0,368;-0,001;0,119;0,103;12,197;-155738,2;42202,16;-1028863;-103497;-107981,6;-820374,4;337541,3;56455,19;-902574,2;337548,1;107824,7;734053;-103541,9;-55079,8;989399,2;-155729,9;119753,9;858373,9
0,3;-0,031;2,14;0,332;-0,005;0,667;-0,84;0,343;-0,037;0,118;0,103;12,197;-155046,9;40786,62;-1027736;-104143,1;-106662,7;-821662,1;337959,6;55102,1;-900580,8;337972,8;106511,7;734826,2;-104212,8;-53835,2;987885,6;-155016,3;118590,4;860017,4
0,32;-0,031;2,15;0,315;-0,013;0,442;-0,796;0,31;-0,049;0,118;0,103;12,197;-151269;32346,81;-1021195;-107725,6;-98707,59;-829273,3;340281,3;46908,16;-889461,6;340280,2;99032,71;739774,7;-107770,5;-46149,34;979426,1;-151235,7;111437,7;869578
0,34;-0,03;2,155;0,299;0;0,271;-0,763;0,243;-0,036;0,117;0,103;12,197;-149680,3;28460,34;-1018026;-109248,9;-95028,39;-832787,1;341257,6;43090,21;-884322,8;341217,6;95798,49;742223,3;-109258,2;-42561,63;975445,1;-149638,2;108100,2;873912,7
0,36;-0,03;2,155;0,299;0;0,271;-0,763;0,243;-0,036;0,117;0,103;12,197;-147335,4;22272,03;-1012962;-111427,4;-89126,37;-838478,8;342670,6;37013,53;-876433,3;342630,6;90177,77;746288,8;-111436,6;-36834,29;969212,2;-147293,3;102711,9;880811,8
0,38;-0,03;2,158;0,284;0;0,125;-0,732;0,192;-0,027;0,102;0,103;12,197;-146776,8;20695,2;-1011516;-111970,4;-87622,34;-839922,4;343013,5;35465,68;-874340,8;342978,6;88777,06;747377,9;-111958,3;-35362,6;967462,6;-146735,7;101320,5;882540,8
0,4;-0,029;2,157;0,269;0,021;-0,039;-0,715;0,105;0,008;0,066;0,103;12,197;-146072,6;18686,31;-1009730;-112620,3;-85680,56;-841822,1;343433,4;33468,24;-871757,9;343395,3;86904,98;748792,1;-112590,6;-33488,06;965318,3;-146038,8;99520,38;884794,3
0,42;-0,029;2,157;0,269;0,021;-0,039;-0,715;0,105;0,008;0,066;0,103;12,197;-143796,5;11558,32;-1003625;-114715,6;-78814,66;-848501,9;344785,1;26411,37;-862917,7;344746,9;80312,77;753915,7;-114685,8;-26794,06;958098,9;-143762,7;93167,61;892645,4
0,44;-0,029;2,153;0,255;0,028;-0,2;-0,688;0,053;0,008;0,047;0,103;12,197;-143380,5;10100,65;-1002256;-115109,7;-77409,34;-849873,9;345031,5;24974,07;-861151,1;345018,3;78987,09;755000,8;-115078,8;-25419,77;956503,8;-143348,6;91840,66;894345,6
0,46;-0,028;2,146;0,241;0,044;-0,362;-0,7;-0,036;0,03;0,005;0,103;12,197;-142971,8;8696,225;-1000960;-115475,8;-76046,36;-851214,8;345269,5;23560,22;-859434,3;345257,6;77637,38;756062,1;-115446,4;-24094,05;954999,4;-142947,6;90577,55;895967,3
0,48;-0,028;2,146;0,241;0,044;-0,362;-0,7;-0,036;0,03;0,005;0,103;12,197;-141158,5;1825,037;-994839,6;-117132,9;-69368,84;-857767,4;346334,1;16712,62;-851137,3;346322,3;71173,64;761395,3;-117103,4;-17554,6;948007,9;-141134,3;84322,88;903456,1
0,5;-0,028;2,146;0,241;0,044;-0,362;-0,7;-0,036;0,03;0,005;0,103;12,197;-140783;266,62;-993429,8;-117475,1;-67849,06;-859264,3;346553,6;15155,54;-849276,7;346541,6;69697,38;762641,7;-117445,7;-16063,33;946419,3;-140758,8;82892;905147,3
0,52;-0,026;2,122;0,214;0,048;-0,655;-0,71;-0,169;0,041;-0,071;0,103;12,197;-140470,1;-1104,256;-992025,8;-117758,2;-66516,31;-860581,8;346736;13779,88;-847663,6;346742,9;68332,15;763726,6;-117737,1;-14759,02;944846,2;-140449,7;81644,84;906839,1
0,54;-0,026;2,122;0,214;0,048;-0,655;-0,71;-0,169;0,041;-0,071;0,103;12,197;-138941,1;-8438,058;-985250,8;-119147,4;-59328,13;-867697,9;347625,4;6429,029;-839051,3;347632,4;61314,39;769837,6;-119126,1;-7687,882;937353,5;-138920,5;74829,7;914752,4
0,56;-0,026;2,122;0,214;0,048;-0,655;-0,71;-0,169;0,041;-0,071;0,103;12,197;-138537,4;-10646,97;-983177;-119513,2;-57154,42;-869858,8;347859,3;4209,675;-836491,8;347866,3;59183,92;771736,6;-119492,1;-5545,321;935092,5;-138516,8;72757,54;917125,3
0,58;-0,025;2,086;0,187;0,049;-0,937;-0,727;-0,283;0,042;-0,146;0,103;12,197;-138067,2;-13462,28;-980330,8;-119936,6;-54378,19;-872623,3;348131,2;1384,292;-833262,2;348144,3;56377,16;774183;-119921,7;-2804,305;932013,1;-138049,8;70103,17;920347,1
0,6;-0,025;2,086;0,187;0,049;-0,937;-0,727;-0,283;0,042;-0,146;0,103;12,197;-136960,6;-21422,12;-972659,9;-120936,4;-46496,35;-880514,8;348769,3;-6642,41;-824252,5;348782,6;48597,93;781381,1;-120921,5;4992,32;923844,9;-136943,2;62518,23;928831,6
0,62;-0,025;2,086;0,187;0,049;-0,937;-0,727;-0,283;0,042;-0,146;0,103;12,197;-136779,5;-23023,03;-971093,8;-121099,8;-44905,18;-882114,6;348873,5;-8259,928;-822466,1;348886,7;47021,08;782870,9;-121084,9;6569,654;922199,4;-136762;60978,5;930530,4
