Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-0,041;1,919;0,439;0,002;0;-0,005;-0,01;-0,001;0,004;0,099;11,377;-216720,5;95367,98;-929618,6;3,03;-185595,1;-850685,8;225782,7;96489,12;-937507,3;225795,7;149722,5;685196,4;5,487;-52969,38;1104287;-216716,5;150985,2;676865,6
0,02;-0,041;1,919;0,439;0,002;0;-0,005;-0,01;-0,001;0,004;0,099;11,377;-216580,8;94960,17;-928838,8;3,03;-185494,8;-851278,6;225636,2;96090,23;-936740,6;225649,2;149430,4;685125,4;5,487;-52346,73;1104174;-216576,8;150703;676778,9
0,04;-0,041;1,919;0,439;0,002;0;-0,005;-0,01;-0,001;0,004;0,099;11,377;-216207,7;93854,14;-926737;3,03;-185218,4;-852875,4;225244,9;95008,32;-934674,7;225257,9;148638,3;684946,2;5,487;-50663,86;1103855;-216203,8;149936,8;676558,3
0,06;-0,041;1,919;0,439;0,002;0;-0,005;-0,01;-0,001;0,004;0,099;11,377;-216035,9;93336,51;-925760;3,03;-185087;-853617;225064,7;94501,78;-933714,1;225077,8;148267,5;684869,1;5,487;-49879,41;1103700;-216032;149578,1;676461,9
0,08;-0,041;1,919;0,439;0,002;0;-0,005;-0,01;-0,001;0,004;0,099;11,377;-215895,3;92908,87;-924955,6;3,03;-184977,1;-854227,5;224917,2;94083,2;-932923,4;224930,2;147960,8;684808,8;5,487;-49232,64;1103569;-215891,3;149281,4;676385,8
0,1;-0,041;1,919;0,439;0,002;0;-0,005;-0,01;-0,001;0,004;0,099;11,377;-215734,2;92414,35;-924029,4;3,03;-184849,1;-854930,3;224748,3;93599,13;-932012,6;224761,3;147606,5;684742,4;5,487;-48486,55;1103415;-215730,3;148938,4;676301,3
0,12;-0,041;1,919;0,439;0,002;0;-0,005;-0,01;-0,001;0,004;0,099;11,377;-215588,3;91962,07;-923185,3;3,03;-184730,9;-855570,3;224595,3;93156,46;-931182,7;224608,3;147282,5;684684,9;5,487;-47805,86;1103271;-215584,4;148624,5;676227,6
0,14;-0,041;1,919;0,439;0,002;0;-0,005;-0,01;-0,001;0,004;0,099;11,377;-215454,7;91544,72;-922408,9;3,03;-184620,9;-856158,9;224455,2;92747,72;-930419,3;224468,2;146983,1;684634,9;5,487;-47178,79;1103135;-215450,8;148334,5;676162,6
0,16;-0,04;1,928;0,44;0,056;0,448;0,088;0,222;-0,069;-0,099;0,099;11,377;-215667,5;90914,92;-921783,4;51,228;-184440,5;-856749,1;224509,9;92300,77;-929777,8;224630,8;144677,5;685619,3;-27,774;-46620,45;1103083;-215431,5;147663,9;676508,7
0,18;-0,04;1,928;0,44;0,056;0,448;0,088;0,222;-0,069;-0,099;0,099;11,377;-215280,6;89678,16;-919503,6;51,228;-184107,1;-858476,4;224104,2;91089,59;-927535,8;224225;143790,2;685492,2;-27,774;-44772,72;1102662;-215044,5;146804;676338,3
