Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-0,04;1,92;0,441;-0,008;0,001;0,015;0,002;-0,001;0,003;0,138;12,761;-297919,3;74375,39;-1080656;-2,631;-148901;-690472,1;310832,2;72571,1;-1083289;310835;168547,4;831257,4;5,869;-96900,68;942209,6;-297914,6;166951;828798,6
0,02;-0,04;1,92;0,441;-0,008;0,001;0,015;0,002;-0,001;0,003;0,138;12,761;-298411,8;73344,7;-1080444;-2,631;-148314,8;-690210,8;311346,8;71536,05;-1083055;311349,5;168140,8;832456,1;5,869;-96087,25;940541,6;-298407,2;166540;830017,6
0,04;-0,04;1,92;0,441;-0,008;0,001;0,015;0,002;-0,001;0,003;0,138;12,761;-299345,4;71365,29;-1080008;-2,631;-147185,3;-689742,1;312322,3;69548,97;-1082579;312325,1;167350,1;834744,4;5,869;-94516,67;937358,2;-299340,9;165741,3;832343,8
0,06;-0,04;1,92;0,441;-0,008;0,001;0,015;0,002;-0,001;0,003;0,138;12,761;-299687,4;70631,84;-1079837;-2,631;-146765,8;-689579,3;312679,5;68812,92;-1082394;312682,3;167054,1;835587,4;5,869;-93932,07;936185,4;-299682,7;165442,2;833200,8
0,08;-0,041;1,93;0,441;-0,019;0,453;0,061;0,145;-0,024;-0,255;0,138;12,761;-299973,6;69085,07;-1079533;39,444;-146105,3;-689384,1;313103,3;67392,13;-1082069;312726;164152,5;837631,8;-18,108;-93033,34;934339,3;-300217,7;164453,5;835007,3
0,1;-0,041;1,93;0,441;-0,019;0,453;0,061;0,145;-0,024;-0,255;0,138;12,761;-300444,8;68056,84;-1079275;39,445;-145513,9;-689178,4;313595,4;66360,63;-1081791;313218,1;163730,4;838805,1;-18,108;-92207,97;932708,4;-300688,9;164027,7;836199,3
0,12;-0,041;1,93;0,441;-0,019;0,453;0,061;0,145;-0,024;-0,255;0,138;12,761;-301200,6;66388,78;-1078837;39,445;-144551,1;-688868,3;314384,9;64687,34;-1081321;314007,8;163038,3;840699,7;-18,108;-90862,84;930076,1;-301444,6;163329,7;838123,9
0,14;-0,041;1,93;0,441;-0,019;0,453;0,061;0,145;-0,024;-0,255;0,138;12,761;-301746,4;65169,73;-1078501;39,445;-143845,1;-688659,8;314955;63464,88;-1080964;314577,7;162526,8;842077,5;-18,108;-89875,43;928163,1;-301990,5;162814,2;839523
0,16;-0,041;1,93;0,441;-0,019;0,453;0,061;0,145;-0,024;-0,255;0,138;12,761;-302233,2;64072,07;-1078189;39,445;-143207,3;-688484,8;315463,4;62364,18;-1080631;315086,3;162062,3;843313,6;-18,108;-88982,98;926447,9;-302477,3;162346,2;840777,9
0,18;-0,046;1,94;0,445;-0,21;0,473;0,218;0,162;-0,083;-0,346;0,138;12,761;-302433,6;62399,37;-1077900;20,131;-142687,4;-688385,3;315623,1;60815,81;-1080294;315513,4;162015,5;844697,3;-9,977;-88009,07;924870,1;-302915,9;161455,6;842309,6
0,2;-0,046;1,94;0,445;-0,21;0,473;0,218;0,162;-0,083;-0,346;0,138;12,761;-302863,8;61413,4;-1077603;20,131;-142111,3;-688248,1;316072,3;59827,46;-1079980;315962,5;161591,9;845800,3;-9,977;-87202,59;923340,7;-303346;161029;843429,3
0,22;-0,046;1,94;0,445;-0,21;0,473;0,218;0,162;-0,083;-0,346;0,138;12,761;-303443,7;60071,19;-1077187;20,131;-141324,4;-688076,9;316677,9;58482,21;-1079540;316568,2;161009,8;847297,1;-9,977;-86100,9;921267;-303926;160443,2;844948,1
0,24;-0,046;1,94;0,445;-0,21;0,473;0,218;0,162;-0,083;-0,346;0,138;12,761;-303973,2;58833,47;-1076791;20,131;-140595,9;-687934,3;317230,8;57241,86;-1079122;317121,2;160468,1;848672,4;-9,977;-85081,16;919362,9;-304455,5;159898,1;846343,4
0,26;-0,054;1,949;0,45;-0,406;0,478;0,267;0,104;-0,084;-0,081;0,138;12,761;-304380,4;56644,12;-1076239;-19,265;-139486,7;-687936,2;317602,8;54925,39;-1078543;317820,3;160365,3;850410,6;4,526;-83181,55;916761,1;-304959,7;158982,7;848259,7
0,28;-0,054;1,949;0,45;-0,406;0,478;0,267;0,104;-0,084;-0,081;0,138;12,761;-305015,7;55122,19;-1075717;-19,265;-138582,9;-687805;318266,2;53400,94;-1077995;318483,8;159684,5;852087,6;4,526;-81916,97;914443,4;-305594,9;158298;849960,8
0,3;-0,054;1,949;0,45;-0,406;0,478;0,267;0,104;-0,084;-0,081;0,138;12,761;-305722,1;53408,3;-1075109;-19,265;-137560;-687682,8;319003,7;51684,45;-1077359;319221,3;158909,1;853968,6;4,526;-80487,09;911847,1;-306301,4;157518,6;851867,8
0,32;-0,054;1,949;0,45;-0,406;0,478;0,267;0,104;-0,084;-0,081;0,138;12,761;-306270,8;52061,36;-1074617;-19,265;-136752,1;-687605,8;319576,5;50335,68;-1076845;319794,1;158293;855441,7;4,526;-79358,46;909815,7;-306849,9;156899,6;853361,1
0,34;-0,065;1,964;0,454;-0,643;0,724;0,208;0,123;-0,068;0,51;0,138;12,761;-306787,2;50371,33;-1074025;-19,594;-135133,1;-688062,3;320072,8;48510,8;-1076241;320361,1;158646,5;857134,5;0,439;-77006,63;907275,1;-307282,2;156203,3;855102,6
0,36;-0,083;1,988;0,458;-0,994;1,173;0,197;0,139;-0,027;0,485;0,138;12,761;-308217,5;46767,44;-1072573;5,987;-132175,8;-688715;321560;44874,14;-1074745;321721,1;156425,7;861058,8;5,264;-73407,2;901824,5;-308362,9;154316,9;859065,3
0,38;-0,2;2,085;0,466;-1,07;0,468;0,105;-0,056;-0,089;0,108;0,138;12,761;-311357,5;38603,52;-1068915;-10,932;-126499,9;-691007,1;324870,2;36674,71;-1070945;324825,8;151001,1;869870,2;26,573;-66472,44;889593;-311344,8;149110,5;867922,4
0,4;-0,22;2,091;0,468;-1,06;0,318;0,118;-0,071;-0,095;0,134;0,138;12,761;-321338,9;7429,931;-1051784;-8,747;-105622,5;-697120,4;335278,2;5560,391;-1053474;335257,8;133702,1;902513,4;19,061;-38597,56;845970,9;-321337,3;131829,6;900900,1
0,42;-0,239;2,097;0,472;-0,981;0,28;0,148;-0,116;-0,098;0,207;0,138;12,761;-322772,2;2003,442;-1048035;-9,298;-101610,6;-699025,3;336777,9;140,4;-1049671;336766,3;130232,3;908308,9;12,742;-33625,33;838673,1;-322784,5;128466,8;906722,1
0,44;-0,239;2,097;0,472;-0,981;0,28;0,148;-0,116;-0,098;0,207;0,138;12,761;-323460,8;-676,476;-1046240;-9,298;-99634,73;-700051,4;337495,6;-2534,319;-1047854;337483,9;128524,3;911086,6;12,742;-31125,76;835114,3;-323473,1;126758,6;909519,6
0,46;-0,258;2,097;0,475;-0,964;0,035;0,138;-0,081;-0,092;0,21;0,138;12,761;-324100,9;-3293,916;-1044198;1,797;-97645,54;-701172,4;338165,4;-5118,915;-1045789;338165,7;126582,1;914030,7;5,319;-28635,36;831583,8;-324113,2;125006,8;912503,6
0,48;-0,258;2,097;0,475;-0,964;0,035;0,138;-0,081;-0,092;0,21;0,138;12,761;-324912,9;-6679,851;-1041827;1,797;-95081,98;-702636,7;339011,5;-8498,062;-1043392;339011,7;124345,9;917538,8;5,319;-25444,92;827144,2;-324925,2;122770,6;916034,6
0,5;-0,277;2,095;0,477;-0,961;-0,127;0,091;-0,137;-0,103;0,111;0,138;12,761;-325595,7;-9619,533;-1039597;1,265;-92850,04;-704025,5;339704;-11430,08;-1041124;339733,2;122365,9;920705,6;-2,734;-22645,45;823261,4;-325587,8;120752,8;919286,4
0,52;-0,277;2,095;0,477;-0,961;-0,127;0,091;-0,137;-0,103;0,111;0,138;12,761;-326183,8;-12269,63;-1037659;1,265;-90787,36;-705308,3;340316,7;-14074,47;-1039168;340345,9;120550,3;923452,9;-2,734;-20122,84;819832,2;-326175,8;118937,5;922049,8
0,54;-0,295;2,09;0,478;-0,92;-0,213;0,021;-0,232;-0,103;0,048;0,138;12,761;-326980,5;-16064,47;-1034754;1,312;-87791,3;-707264,1;341150,6;-17882,2;-1036233;341181,9;117613,4;927450,5;-3,519;-16495,48;814947,8;-326977,5;116286,3;926127,1
