Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;0,046;2,658;0,458;0,002;0;-0,004;-0,001;0,001;-0,003;0,078;9,538;-279318;-584598,7;-401805,8;137906,1;-656000,3;-228400,5;157894,4;-590807,7;-402393,8;75943,7;845148,6;39103,51;69497,02;552483,7;395554,8;-340498,2;586455,6;297717,8
0,02;0,04;2,647;0,464;-0,164;-0,455;0,146;-0,318;0,81;-0,216;0,078;9,538;-287824,2;-510399,2;-502276,5;156132,1;-643825,9;-240342,3;147092,6;-521547,7;-506384,4;53007,29;848856,9;34142,98;80309,96;484833,1;489417,9;-352043,8;557017,9;326249,5
0,04;0,04;2,647;0,464;-0,164;-0,455;0,146;-0,318;0,81;-0,216;0,078;9,538;-288557,8;-451430,2;-585087,4;156432,9;-643583,8;-240593,4;146184,3;-461770,2;-591654,5;52599,51;848925,6;34075,52;81113,34;429212;566644,3;-352253,1;556467,6;326806,6
0,06;0,038;2,632;0,467;0,005;-0,746;0,092;-0,526;0,693;-0,289;0,078;9,538;-288255,4;-400076,2;-655426,9;154854,2;-644965,7;-239180,1;146725,3;-409043,8;-664645,3;54713,25;848232,2;34875,5;80969,88;380186,1;632313,9;-350754,7;559456,1;323637,2
0,08;0,042;2,624;0,471;0,183;-0,349;0,067;-0,778;0,278;0,238;0,078;9,538;-288119,8;-352478,4;-719679,3;153335,6;-645885;-238182,9;147018,6;-360196,6;-730585,6;57331,39;847948;35673,63;80346,88;335083,3;692283;-349782,6;562347,3;321553,4
0,1;0,042;2,624;0,471;0,183;-0,349;0,067;-0,778;0,278;0,238;0,078;9,538;-287773,2;-309005,5;-776999,3;151953,9;-646913,9;-237156,4;147447,7;-315765,1;-789210;59193,2;847574,1;36049,2;79967,34;293760,2;745740,4;-348817,7;564726,3;319177
0,12;0,042;2,621;0,473;-0,016;-0,111;0,041;-0,555;-0,018;0,135;0,078;9,538;-287263,5;-272642,3;-824286,6;150097,2;-648029,3;-235967,9;148116,7;-278186,8;-837349,7;61222;847415,2;36662,22;78704,45;258993,1;789888;-347957,7;567430,7;316606,5
0,14;0,046;2,627;0,482;0,154;0,341;0,419;-0,239;-0,253;-0,028;0,078;9,538;-286686,8;-241062,3;-864973,4;147784,5;-649121,1;-235070;148839,2;-245379,3;-878500,4;63387,6;847134,8;37121,82;77538,92;228832,8;827709,2;-346800,1;570043,5;313939,7
0,16;0,046;2,627;0,482;0,154;0,341;0,419;-0,239;-0,253;-0,028;0,078;9,538;-285910,7;-212719,1;-900258,4;146039,8;-650372,8;-233819,7;149791,8;-216349,5;-913983,6;65713,26;846619;37638,52;76692,48;201852,4;860466,2;-345573,3;572982,2;311002,5
0,18;0,05;2,633;0,497;0,216;0,314;0,696;-0,178;-0,249;-0,037;0,078;9,538;-284997,3;-189640,1;-929142,3;143524,2;-651675,2;-232664,6;150870,8;-192462,8;-942817,1;68154,88;846137;38172,73;75608,46;180062,8;886968,7;-344213,8;576001,8;308120,5
0,2;0,054;2,643;0,509;0,177;0,484;0,605;-0,208;-0,109;0,006;0,078;9,538;-283905;-169585,8;-954019,7;141415,8;-653108,1;-231241,5;152178,2;-171955,5;-967315,1;70735,7;845546,4;38781,8;74491,28;161194,7;909488,3;-342798,1;579246,2;305009,4
0,22;0,057;2,653;0,521;0,179;0,512;0,521;-0,199;-0,047;-0,021;0,078;9,538;-282696,2;-152421,8;-975261,3;139355,1;-654547,9;-229786,2;153635,1;-154445,3;-987860,3;73462,04;844832;39459,93;73219,09;144804,6;928810,8;-341327;582687;301619,6
0,24;0,057;2,653;0,521;0,179;0,512;0,521;-0,199;-0,047;-0,021;0,078;9,538;-281328,5;-137706,3;-993118,4;137104,1;-656057,4;-228277;155278;-139330,5;-1004727;76407,5;844070,9;40221,15;71742,76;130768,6;945010,9;-339724,7;586339,2;297967,9
0,26;0,061;2,658;0,531;0,177;0,304;0,478;-0,147;-0,034;-0,043;0,078;9,538;-279850,8;-125731,7;-1008275;134837,8;-657558,4;-226758,3;157039,9;-127065,8;-1018669;79398,34;843238,1;41029,64;70162,39;119259,3;958618,3;-338094,3;590066,8;294247,8
0,28;0,065;2,662;0,54;0,206;0,191;0,47;-0,143;-0,031;-0,007;0,078;9,538;-278220,7;-115639,8;-1021164;132403,7;-659107;-225170,8;158959,7;-116694,9;-1030104;82589,33;842351,1;41921,95;68426,53;109611,5;970033,4;-336344,3;593969,3;290345,7
0,3;0,065;2,662;0,54;0,206;0,191;0,47;-0,143;-0,031;-0,007;0,078;9,538;-276397,2;-106937,3;-1032114;129759,7;-660769,5;-223508,2;161098,3;-107715,8;-1039382;85989,59;841357,3;42915,24;66480,47;101288,1;979540,5;-334440,6;598117,5;286197,5
0,32;0,07;2,663;0,551;0,253;0,061;0,5;0,025;-0,097;0,009;0,078;9,538;-274488,7;-99995,38;-1041465;127076,7;-662385,3;-221858,8;163319,5;-100504,1;-1046862;89406,17;840326,4;43967,64;64435;94643,63;987486,8;-332437;602355,2;282049,8
0,34;0,076;2,663;0,56;0,279;-0,037;0,495;0,079;-0,124;0,01;0,078;9,538;-272403,8;-94229,34;-1049448;124238,4;-664074,1;-220150,2;165713,9;-94506,27;-1052779;93034,4;839150,5;45117,1;62237,11;89110,36;994071,1;-330375;606754,6;277730,5
0,36;0,076;2,663;0,56;0,279;-0,037;0,495;0,079;-0,124;0,01;0,078;9,538;-270120;-89403,79;-1056243;121198,2;-665842,3;-218381,5;168311,6;-89465,05;-1057342;96865,67;837879;46387,44;59835,37;84465,5;999463,8;-328155,6;611347,3;273137,1
0,38;0,082;2,66;0,57;0,288;-0,166;0,506;0,168;-0,15;-0,03;0,078;9,538;-267749,5;-85725,91;-1062004;118127,6;-667595,9;-216640,6;170980,9;-85585,45;-1060701;100706,4;836523,2;47721,09;57359,63;80897,33;1003817;-325910;615972,4;268560,6
0,4;0,088;2,654;0,58;0,295;-0,282;0,513;0,202;-0,148;-0,055;0,078;9,538;-265208,1;-82881,09;-1066855;114901;-669381,4;-214872,9;173797,4;-82549,48;-1063001;104731,9;835048,9;49169,23;54736,14;78124,83;1007249;-323545,8;620738,8;263817,3
