Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;0,046;2,658;0,458;0,002;0;-0,004;-0,001;0,001;-0,003;0,104;7,652;-191146,9;-81734;-1064365;1,125;-861751,4;-22913,44;211514,6;-77527,78;-1010418;190410,6;601648,9;282457,6;-1,534;81210,41;1044507;-190406,9;601677,1;282444,8
0,02;0,046;2,658;0,458;0,002;0;-0,004;-0,001;0,001;-0,003;0,104;7,652;-190301,4;-68043,87;-1077478;1,125;-877957,3;-6541,071;210697,5;-64572,09;-1022735;187177,6;584468,1;299754,1;-1,534;68073,34;1061154;-187173,9;584496,3;299741,3
0,04;0,052;2,653;0,457;0,212;-0,237;-0,052;-0,003;-0,049;0,61;0,104;7,652;-192040,3;-72315,43;-1074045;-95,577;-870246,2;-14566,73;212365,5;-69290,05;-1018099;189023,8;595309,6;292078,5;-2,932;72671,73;1050579;-188968;592890,6;290741,9
0,06;0,052;2,653;0,457;0,212;-0,237;-0,052;-0,003;-0,049;0,61;0,104;7,652;-193755,9;-75480,34;-1074196;-95,577;-862254,8;-22551,64;214019,3;-72282,72;-1018228;190615,5;603675,6;283706,9;-2,932;75203,85;1043979;-190559,8;601256,7;282370,3
0,08;0,052;2,653;0,457;0,212;-0,237;-0,052;-0,003;-0,049;0,61;0,104;7,652;-195545,9;-79559,68;-1073434;-95,577;-854029,6;-30769,99;215740,6;-76140,15;-1017500;192279,3;612203,4;275171,9;-2,932;78565,63;1036383;-192223,6;609784,5;273835,3
0,1;0,052;2,635;0,454;-0,046;-0,926;-0,173;-0,084;0,109;0,232;0,104;7,652;-197377,5;-88729,26;-1064553;-76,415;-845159,5;-39785,24;217572,1;-84603,58;-1009454;193917,4;622200,7;265241,5;7,117;85978,05;1022352;-194048,6;619152;264678,2
0,12;0,052;2,635;0,454;-0,046;-0,926;-0,173;-0,084;0,109;0,232;0,104;7,652;-199293,6;-94875,33;-1061602;-76,415;-836682,4;-48252,53;219405,5;-90414,51;-1006672;195687,3;630820,7;256611;7,117;91175,96;1012613;-195818,4;627772;256047,7
0,14;0,052;2,635;0,454;-0,046;-0,926;-0,173;-0,084;0,109;0,232;0,104;7,652;-201268,7;-102251,8;-1057292;-76,415;-828103,3;-56819,81;221290,6;-97388,16;-1002618;197507,3;639462,1;247956,6;7,117;97446,83;1001629;-197638,5;636413,4;247393,3
0,16;0,049;2,633;0,454;-0,136;-0,163;0;0,041;0,088;0,123;0,104;7,652;-203218;-113190,9;-1048957;9,937;-819733,6;-65046,91;223096,1;-107139,8;-995264,9;199231,1;644803,1;239387,7;46,268;106482,5;987003,1;-199337,3;644742,1;239222
0,18;0,049;2,633;0,454;-0,136;-0,163;0;0,041;0,088;0,123;0,104;7,652;-205302,5;-123564,4;-1041199;9,937;-810993,9;-73768,8;225074,8;-116944,5;-987996,8;201146,6;653445,4;230726,5;46,268;115322,6;973031,4;-201252,8;653384,4;230560,8
0,2;0,047;2,641;0,456;-0,096;0,352;0,106;0,089;0,098;0,084;0,104;7,652;-207382,1;-137129,4;-1030926;10,641;-802536,6;-82014,36;227024,2;-129221,2;-978610,7;203100,3;661014,9;222470,2;30,526;126540,3;956680;-203185;661583,3;222363,2
0,22;0,047;2,641;0,456;-0,096;0,352;0,106;0,089;0,098;0,084;0,104;7,652;-209562,8;-151432,3;-1018395;10,641;-793697,8;-90826,3;229082,7;-142737,4;-966912,3;205103;669607,4;213849,5;30,526;138681,3;938799,8;-205187,8;670175,8;213742,6
0,24;0,045;2,653;0,457;-0,086;0,576;0,096;0,077;0,117;0,108;0,104;7,652;-211715,1;-169281,3;-1003403;6,847;-785027,1;-99181,05;231110,4;-159169;-952857,9;207210,9;677763,8;205579,1;11,675;153332,6;919080,6;-207219,5;678383,7;205645,2
0,26;0,058;2,684;0,467;0,146;0,292;0,079;0,018;0,176;0,25;0,104;7,652;-213909;-190331,4;-984655,2;4,533;-776199,2;-107805,1;233177,3;-178935,2;-935386,2;209224,6;686824,6;197299,6;3,072;170750;896436,1;-209218,6;686886,6;197406,2
