Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-2,68;0,961;2,309;-0,002;-0,004;-0,003;-0,002;-0,005;0,008;0,019;2,302;-362409,7;-926459,8;57375,74;57839,69;-646018,7;-192251,3;182014,5;-997084,4;125324,4;194594,7;811783,3;133074;70729,99;555832,1;303153,8;-332097,5;748807,1;155525,8
0,02;-2,68;0,961;2,309;-0,002;-0,004;-0,003;-0,002;-0,005;0,008;0,019;2,302;-388960,3;-918430,7;45887,43;66753,81;-590080,5;-260720,2;170372,6;-1025760;150400;186113,7;760212,9;227971;80333,59;505124,5;359528;-351582,5;692457,7;241069
0,04;-2,681;0,965;2,307;-0,017;0,178;-0,055;0,629;0,598;-0,663;0,019;2,302;-389796,8;-913616,4;39055,58;67408,64;-539183,4;-331226,1;169202,3;-1025787;148391,9;184672,8;695897,1;333707,6;80477,17;495658,5;370895,1;-353749,1;631060,6;332447,6
0,06;-2,681;0,965;2,307;-0,017;0,178;-0,055;0,629;0,598;-0,663;0,019;2,302;-391760,2;-911037,3;35216,85;68632,6;-483865,6;-407591,2;168282,6;-1026442;148018,4;183375,4;624408,8;443718,4;81152,03;487132,6;381651,8;-356576;565424,9;428845,3
0,08;-2,681;0,965;2,307;-0,017;0,178;-0,055;0,629;0,598;-0,663;0,019;2,302;-393434,5;-908807,6;31900,45;69737,67;-427500,7;-483765,4;167492,9;-1026992;147685,4;182179,3;552625,3;552570,3;81724,53;479725,5;390978,5;-359148,8;499263,2;524128,2
0,1;-2,681;0,963;2,31;-0,015;-0,087;0,143;-0,121;0,362;-0,098;0,019;2,302;-395403;-906799,1;28677,1;70579,23;-375800,4;-552497,8;167318,4;-1026664;145539,2;181183,7;491497,8;650512,3;81939,02;474622,6;398088,7;-361091,8;437951,6;609742,4
0,12;-2,681;0,963;2,31;-0,015;-0,087;0,143;-0,121;0,362;-0,098;0,019;2,302;-396696,7;-905128,3;26200,27;71511,47;-324215,8;-618514,8;166698,8;-1027152;145378,8;180135,4;426331,5;745409,6;82378,79;468941,1;405189,7;-363290;377907,7;691926,9
0,14;-2,684;0,96;2,314;-0,141;-0,141;0,177;0,625;0,856;0,033;0,019;2,302;-397368,1;-903827,8;24335,19;72648,75;-279825,2;-674118,9;166333,6;-1028018;145168;179310,6;363061,1;825446,1;82758,45;464741,9;411248,4;-365269,8;325884,6;760953,4
0,16;-2,684;0,96;2,314;-0,141;-0,141;0,177;0,625;0,856;0,033;0,019;2,302;-398286;-902592,6;22505;73413,85;-238138;-724397,9;165888,8;-1028336;145011,3;178421,9;310029;898711,3;83069,14;460540,5;416496,9;-367092,9;277352,3;823566
0,18;-2,684;0,96;2,314;-0,141;-0,141;0,177;0,625;0,856;0,033;0,019;2,302;-399015;-901537,1;20938,64;74096,47;-201823,2;-766980,8;165533,9;-1028532;144801,2;177617,8;263610;961065,2;83315,58;457004,7;420932,3;-368726,7;235038,7;876573,9
0,2;-2,687;0,954;2,317;-0,175;-0,295;0,164;0,86;0,765;0,448;0,019;2,302;-399154,1;-900515,8;19656,79;74519,78;-172883,7;-799997,2;165156,5;-1029008;144664,9;177045;223722,3;1010752;83517,02;454612,5;424234,5;-370109,9;201314,8;917628,2
0,22;-2,687;0,954;2,317;-0,175;-0,295;0,164;0,86;0,765;0,448;0,019;2,302;-399503,6;-899757,6;18521,24;75038,99;-146376,5;-829588,3;164985,4;-1028901;144260,6;176418,9;189563,4;1054215;83634,94;452285,3;427226,8;-371361,8;170388,4;954357,7
0,24;-2,691;0,948;2,318;-0,225;-0,322;0,084;0,963;0,765;0,438;0,019;2,302;-399368,6;-898976,5;17642,31;75430,6;-125168;-852660,9;164884,1;-1028710;143789,2;175936,8;161569,3;1089683;83682,23;450645,8;429393,1;-372404,3;145669,4;983917,9
0,26;-2,696;0,944;2,32;-0,266;-0,159;0,089;0,221;0,212;0,419;0,019;2,302;-399575,5;-898524,5;16892,85;75740,55;-106814;-872474,1;164989,3;-1028128;143068,3;175492,8;138138,8;1119431;83786,09;449534,8;430908,8;-373300,7;124128,2;1009223
0,28;-2,696;0,944;2,32;-0,266;-0,159;0,089;0,221;0,212;0,419;0,019;2,302;-399348,8;-898095,1;16222,6;76016,73;-91073,41;-889208,1;165100,4;-1027453;142206,1;175151,8;117709,9;1143648;83709,63;448784,3;432085,6;-373971,5;105752,3;1029766
0,3;-2,696;0,944;2,32;-0,266;-0,159;0,089;0,221;0,212;0,419;0,019;2,302;-398927,7;-897751,6;15671,27;76211,99;-77905,45;-903094,5;165306,4;-1026566;141158,3;174909,6;100594,9;1163492;83567,57;448511,3;432727,2;-374446,4;90379,1;1046696
0,32;-2,701;0,943;2,322;-0,238;-0,045;0,118;0,019;0,097;0,269;0,019;2,302;-398374,7;-897531,2;15115,62;76377,29;-67548,14;-914209,9;165760,9;-1025382;139781,9;174773,9;87448,16;1179845;83277,05;448709,1;432762,8;-374622,9;78255,63;1060825
0,34;-2,701;0,943;2,322;-0,238;-0,045;0,118;0,019;0,097;0,269;0,019;2,302;-397560,9;-897331,8;14761,01;76410,15;-58332,61;-923922,2;166156,4;-1024045;138325,9;174732,9;75443,07;1193110;83001,84;449334,9;432413;-374703;67495,9;1072402
0,36;-2,705;0,943;2,325;-0,181;0,03;0,139;0,047;0,064;0,208;0,019;2,302;-396539,4;-897236,8;14453,99;76405,84;-50978,25;-932096,8;166759,6;-1022550;136702,5;174795,2;65981,88;1203948;82601,77;450301,6;431644,4;-374528,9;59127,72;1082020
0,38;-2,705;0,943;2,325;-0,181;0,03;0,139;0,047;0,064;0,208;0,019;2,302;-395326,9;-897150,5;14251,55;76274,62;-44501,42;-939103,5;167342,5;-1020735;134799;174958,3;57528,24;1212698;82190,13;451764,7;430389;-374209,5;51563,94;1090030
0,4;-2,707;0,944;2,328;-0,106;0,067;0,147;0,058;-0,098;0,349;0,019;2,302;-393874,7;-897175,9;14020,4;76019,84;-39277,35;-945233,8;167885,4;-1018778;132731,3;175219,3;50710,27;1219745;81734,4;453487,3;428804,2;-373698,3;45539,44;1096708
