Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-2,683;1,036;2,357;0,001;0;0,001;0,009;-0,004;-0,001;0,048;3,029;-293499;-819882;-39157,66;65328,24;-775561,4;-65098,19;140571,8;-862016,3;211,763;162459,9;839490,5;28039,13;84915,8;736981,3;119506,7;-285308,6;773343;65821,95
0,02;-2,683;1,036;2,357;0,001;0;0,001;0,009;-0,004;-0,001;0,048;3,029;-305767,9;-793484,2;-70716,02;77143,88;-744406,4;-110398,9;124559,2;-859635;-7597,648;149394,7;808325,5;79524,11;98686,93;719068,9;143856,8;-294805,1;737202,8;113344,3
0,04;-2,685;1,037;2,358;-0,083;0,044;-0,001;0,079;0,79;0,16;0,048;3,029;-305998,3;-785603,3;-81272,77;78591,69;-702107,3;-173643,6;123386,1;-855089,1;-14908,36;147374,6;759466,1;153123,3;99461,88;712552,6;153361,5;-295866,3;694721,7;175664,7
0,06;-2,685;1,037;2,358;-0,083;0,044;-0,001;0,079;0,79;0,16;0,048;3,029;-307070,2;-779988;-89009,76;80579,9;-651426,2;-248860,1;121924,1;-852079,9;-19845,82;145123,7;703066,3;238856,2;100690;707229,4;161087,4;-297435;644144,1;249789,4
0,08;-2,686;1,035;2,359;-0,065;-0,081;0,08;-0,055;0,675;0,182;0,048;3,029;-308019,3;-775290,4;-95511,74;82079,39;-595660,9;-330676,7;120928;-849194,6;-24655,65;143563,7;645395,2;331203,1;101326,1;702785,9;167657,2;-298721,5;588575;330325,7
0,1;-2,686;1,035;2,359;-0,065;-0,081;0,08;-0,055;0,675;0,182;0,048;3,029;-308867,1;-770967,3;-101437;83792,02;-534854,6;-418369,4;119760,1;-846952;-28345,97;141607,3;579395,9;429043,3;102302;698745,3;173495,1;-300063,4;528124,6;416571,3
0,12;-2,686;1,035;2,359;-0,065;-0,081;0,08;-0,055;0,675;0,182;0,048;3,029;-309627,7;-767178,6;-106610,7;85388,27;-473161,8;-505503,7;118708;-845032;-31515,08;139776,4;512827,8;525922,9;103179,1;695234,9;178554;-301310,4;466859,2;502161,2
0,14;-2,687;1,035;2,363;-0,061;-0,037;0,21;0,024;0,209;-0,148;0,048;3,029;-310492,4;-764316,4;-110608,5;86914,15;-416148,9;-583833,8;117955,3;-843593,4;-34035,51;137937,8;451969,9;612844,7;104034,9;692369,1;182620,1;-302478,3;410402,1;579234,5
0,16;-2,687;1,035;2,363;-0,061;-0,037;0,21;0,024;0,209;-0,148;0,048;3,029;-311080,1;-761455,6;-114497,7;88276,86;-359748,8;-659451,1;117136,8;-842184,7;-36367,41;136363,4;391355;696895,7;104714,8;689747,2;186385,5;-303536,9;354504,1;653289,1
0,18;-2,69;1,034;2,368;-0,12;-0,043;0,236;0,048;0,152;-0,074;0,048;3,029;-311416;-759227,6;-117715,1;89640,91;-310772,2;-723145,4;116681,4;-841094,9;-38309,49;135046,2;335476,2;767814,3;105220,2;687659,8;189245,2;-304402,4;306396,6;715644,8
0,2;-2,69;1,034;2,368;-0,12;-0,043;0,236;0,048;0,152;-0,074;0,048;3,029;-311831,7;-757132,1;-120571,1;90768,79;-264991,6;-781049,8;116099,3;-840045,3;-40038,7;133735,1;286227,6;832297,2;105702,4;685729,8;192017,3;-305274,7;261109;772181,6
0,22;-2,692;1,033;2,372;-0,13;-0,043;0,205;0,056;0,066;0,032;0,048;3,029;-311901,9;-755431,2;-123022,6;91715,54;-226809,3;-827942,3;115593,4;-839239,7;-41415,14;132647;244251,9;884522,6;106009,9;684192,3;194135,8;-305952,8;223642,3;817882,1
0,24;-2,692;1,033;2,372;-0,13;-0,043;0,205;0,056;0,066;0,032;0,048;3,029;-312145,8;-753972;-125044,1;92607,07;-192380,5;-869161,7;115250,6;-838429,5;-42725,98;131605,6;207150,6;930433,6;106293,3;682800,4;196148,1;-306639,7;189637,8;858031,7
0,26;-2,692;1,033;2,372;-0,13;-0,043;0,205;0,056;0,066;0,032;0,048;3,029;-312303,8;-752793,2;-126707;93379,81;-163047,2;-903442,4;115028,4;-837703,6;-43881,88;130701,1;175519,6;968587,6;106476,8;681632,6;197849,2;-307234,2;160684,7;891395,3
0,28;-2,695;1,033;2,376;-0,141;-0,02;0,165;0,089;0,099;0,119;0,048;3,029;-312278;-751947,8;-128003,9;93976;-139930,2;-929961,7;115036,7;-837163,7;-44765,85;130006,4;150523,8;998915,9;106549;680728;199123,1;-307702,5;137966;916981,8
0,3;-2,695;1,033;2,376;-0,141;-0,02;0,165;0,089;0,099;0,119;0,048;3,029;-312263,1;-751269,2;-129042;94509,77;-119049,1;-953404,4;115057,9;-836550,3;-45697,6;129379,6;127989,3;1024929;106531,5;679937;200309,1;-308112,2;117376,8;939783,9
0,32;-2,697;1,033;2,378;-0,119;0,011;0,136;0,117;0,004;0,2;0,048;3,029;-312192,6;-750851,1;-129945,8;94892,74;-102419,6;-972527,9;115168,5;-836021,1;-46503,72;128905,5;110128,8;1046348;106432,4;679303,8;201247,1;-308449,1;100923,9;958326,6
0,34;-2,697;1,033;2,378;-0,119;0,011;0,136;0,117;0,004;0,2;0,048;3,029;-312002,3;-750612,6;-130452,5;95185,43;-87734,42;-988540,2;115436,1;-835461,6;-47299,77;128561,1;94275,66;1064019;106211,3;678816,4;202028,3;-308673,3;86455,56;973930,3
0,36;-2,699;1,033;2,381;-0,1;0,02;0,128;0,11;-0,063;0,196;0,048;3,029;-311803;-750955,7;-130848,5;95334,95;-75963,66;-1002037;115803;-834929,1;-48060,31;128357,2;81830,87;1078778;105862,6;678437,7;202633,7;-308791,7;74799,7;987132,4
0,38;-2,699;1,033;2,381;-0,1;0,02;0,128;0,11;-0,063;0,196;0,048;3,029;-311434,7;-751112,9;-130892;95384,24;-65653,3;-1013068;116319,5;-834379,6;-48786,13;128299,1;70698,89;1090831;105435,2;678200,6;203090,4;-308829,7;64648,32;997949,9
0,4;-2,699;1,033;2,381;-0,1;0,02;0,128;0,11;-0,063;0,196;0,048;3,029;-310975,9;-751455,2;-130723,7;95310,79;-57003,21;-1022269;116961,4;-833822,1;-49496,1;128385,6;61358,9;1100809;104903,3;678072,7;203408,3;-308773,4;56134,03;1007024
0,42;-2,7;1,033;2,383;-0,076;0,026;0,1;0,122;-0,092;0,217;0,048;3,029;-310482,4;-752346,2;-130332,8;95092,13;-50227,84;-1030058;117648,1;-833266,9;-50199,58;128614,5;54188,63;1109139;104284,3;678042,6;203579,1;-308628,3;49454,54;1014780
