Time;PosX;PosY;PosZ;VelX;VelY;VelZ;AngVelX;AngVelY;AngVelZ;LateralDeviation;Distance;Leg0_Coxa_Torque;Leg0_Femur_Torque;Leg0_Tibia_Torque;Leg1_Coxa_Torque;Leg1_Femur_Torque;Leg1_Tibia_Torque;Leg2_Coxa_Torque;Leg2_Femur_Torque;Leg2_Tibia_Torque;Leg3_Coxa_Torque;Leg3_Femur_Torque;Leg3_Tibia_Torque;Leg4_Coxa_Torque;Leg4_Femur_Torque;Leg4_Tibia_Torque;Leg5_Coxa_Torque;Leg5_Femur_Torque;Leg5_Tibia_Torque
0;-2,694;0,802;2,344;-0,001;0,001;0,001;0,004;0,01;-0,011;0,035;1,917;-160896,9;-637017,2;-382271,8;-8162,871;-705537,4;-175268,9;264234,6;-572407,3;-374650,8;221153,3;770112,2;111079,1;43137,05;569956,3;374155,7;-235649;751648,6;128335,2
0,02;-2,694;0,802;2,344;-0,001;0,001;0,001;0,004;0,01;-0,011;0,035;1,917;-149203,8;-682191,2;-319113,9;-13579,72;-704923,8;-176092,8;271813,8;-605146;-320746,6;216244,2;775454,6;105940,9;52859,39;606097,3;320570,1;-240279;745213,8;134932,3
0,04;-2,693;0,8;2,343;0,052;-0,087;-0,021;-0,383;-0,261;0,173;0,035;1,917;-145512,4;-737761,1;-236939;-17636,14;-706718,5;-173412;274007,6;-650029,3;-252391;212257,7;780228,7;99503,11;55867,02;652273,5;251970,8;-243570,2;742000,1;137233,2
0,06;-2,693;0,8;2,343;0,052;-0,087;-0,021;-0,383;-0,261;0,173;0,035;1,917;-141587,4;-788431,1;-161208,5;-21712,88;-708593,4;-170425,9;276415,3;-689282,1;-191846,8;208470,8;786294,5;92462,34;59035,39;693105,5;190686,4;-246972,5;739390,1;138753,2
0,08;-2,691;0,8;2,341;0,08;-0,009;-0,121;-0,154;0,222;-0,003;0,035;1,917;-138137,4;-833692,7;-93106,83;-25730,88;-711032,3;-166540;278580,8;-722866,1;-139953,4;205222,7;792653,1;85088,85;61743,54;728186,6;137725;-250163;737398,9;139420,1
0,1;-2,691;0,8;2,341;0,08;-0,009;-0,121;-0,154;0,222;-0,003;0,035;1,917;-134412,3;-874294,6;-32222,4;-29619,55;-714077,8;-161734;280792,9;-750415,3;-96380,27;201528,5;799460,8;76759,55;64696,16;757736,7;92625,09;-253343;736191,4;138883,9
0,12;-2,69;0,803;2,339;0,013;0,126;-0,096;0,318;0,196;0,259;0,035;1,917;-130742,6;-906661,1;16646,15;-33485,89;-717697,8;-155857,6;282682,3;-769454,5;-65381,72;197927,3;806520,7;68100,41;67336,32;779201;59601,77;-256376,1;736019,1;137083,3
0,14;-2,69;0,803;2,339;0,013;0,126;-0,096;0,318;0,196;0,259;0,035;1,917;-127198,5;-934554,6;58196,85;-37183,85;-722522,5;-148320,3;284724,9;-783370,8;-42338,63;194337,2;814524,4;57792,96;70098,01;795494;34360,6;-259343,5;736854,5;133534,9
0,16;-2,69;0,803;2,338;0,039;0,005;-0,051;-0,001;0,111;0,09;0,035;1,917;-123990,4;-954811,3;88176,78;-40338,34;-728431,6;-139261,3;286736,9;-790125,2;-30083,3;190926,3;823117,9;46481,2;72765,46;804482,1;19939,99;-262035,8;739032;128041
0,18;-2,69;0,803;2,338;0,039;0,005;-0,051;-0,001;0,111;0,09;0,035;1,917;-120644,3;-970382,3;110955,5;-43835,51;-735685,3;-128007,8;288612,5;-791845,6;-25680,46;187459,6;832749,4;33533,83;75331,8;808828,6;12868,46;-264793;742627,8;120404,6
